artists,name,genres
Radiohead,Bones,"alternative, rock, alternative rock, radiohead, 90s"
"Mily Balakirev,  Christian Spring",Berceuse for Piano in D-Flat Major,Unknown
Bob Dylan,Just Like a Woman,"folk, singer-songwriter, folk rock, 60s, classic rock"
"Daniel Santos,  La Sonora Matancera",Dos Gardenias,"bolero, cuba, Dos Gardenias, ranchera, cuban"
Clarence Carter,Back Door Santa,"christmas, soul, blues, christmas soul, RnBxmas"
Luis Miguel,Perdóname (All by Myself),Unknown
The 5th Dimension,Let The Sunshine In (Reprise) - Remastered 2000,"cover, classic tracks, 5th dimension"
Céline Dion,Christmas Eve,"christmas, pop, xmas, female vocalists, holiday"
Rage Against The Machine,The Ghost of Tom Joad,"rock, alternative rock, alternative, cover, hard rock"
David Bowie,Absolute Beginners - 2002 Remaster,may 2021
Wynton Marsalis,Carol Of The Bells,"christmas, Christmas tag, jazz, marsalis"
Clarence Carter,Part Time Love,Unknown
Barry Manilow,When the Good Times Come Again,Unknown
2Pac,Heaven Ain't Hard 2 Find,"Gangsta Rap, hip hop, rap, Hip-Hop, 2pac"
Air Supply,Every Woman in the World,"80s, soft rock, pop, Air Supply, love songs"
Marilyn Manson,Angel With The Scabbed Wings,"industrial metal, industrial, metal, rock, alternative rock"
Evan And Jaron,Crazy for This Girl,"pop, 90s, pop rock, Love, dawsons creek"
Dierks Bentley,Am I The Only One,"country, fun, jazzyscountry, catchy, Faves"
The Lumineers,Flapper Girl,"folk, Love, piano, 2010s, indie"
J. Cole,Runaway,"j cole, Hip-Hop, hip hop, 2013, rap"
"The Poppy Family,  Terry Jacks,  Susan Jacks",Where Evil Grows,"pop, 70s, Canadian, oldies, classic rock"
Moccasin Creek,Porch Honky,Unknown
Damian Marley,Me Name Jr. Gong,"reggae, dancehall, world, party, roots reggae"
Fischer-Z,So Long,"new wave, 80s, pop, rock, post-punk"
Alice In Chains,"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Unknown
Rebelution,Sky Is the Limit,"reggae, strings organs rubber wind, ska, dub, Feel Good Music"
Mumford & Sons,Ghosts That We Knew,"folk, indie, mumford and Sons, indie folk, acoustic"
Marco Antonio Solís,Para Que Seas Feliz,grupera
The Waterboys,How Long Will I Love You - 2008 Remaster,Unknown
"Aaron Copland,  Los Angeles Philharmonic,  Zubin Mehta",Fanfare for the Common Man,"Classical, contemporary classical, fanfare, instrumental, trumpet"
Freddy Fender,Before the Next Teardrop Falls,"country, classic country, Freddy Fender, 70s, Before the Next Teardrop Falls"
Dire Straits,When It Comes To You,"classic rock, dire straits, rock, guitar, soft rock"
STEELHEART,WE ALL DIE YOUNG,"rock, hard rock, Rockstar Soundtrack, 1996, lovedproperty"
Joy Division,Atmosphere - 2020 Digital Remaster,"post-punk, coldwave, rock, punk, dream pop"
Suicide,Surrender,"synthpop, breeding lilacs out of the dead ground mixing memory and desire stirring, ballads, 80s, experimental"
Aretha Franklin,One Step Ahead,"soul, rnb, diva, Mellow, hip hop sample"
Matt Monro,Born Free,"easy listening, 60s, Born Free, oldies, pop"
Trampled by Turtles,Alone,"folk, acoustic, Mellow, bluegrass, twee"
"Pankaj Udhas,  Anuradha Paudwal",Aaj Phir Tum Pe,Unknown
Chicago,Look Away - 2009 Remaster,Unknown
Dierks Bentley,Tip It On Back,"country, modern country, road trip, 2012, 2010s"
Lana Del Rey,Cola,"indie, pop, alternative, female vocalists, sexy"
Broadcast,Come On Let's Go,"electronic, indie, dream pop, alternative, female vocalists"
First Aid Kit,Emmylou,"folk, swedish, indie, female vocalists, femalevocalistsgdchill"
Little Feat,Long Distance Love,"70s, little feat, Southern Rock, rock, classic rock"
Grupo Bryndis,Por Estar Pensando En Ti,Unknown
Tim McGraw,Southern Girl,"country, great song, modern country, new country, 2013"
Iration,Automatic,Unknown
Gilberto Santa Rosa,Sin Voluntad,"salsa, latino, salsa romantica, vocal, gilberto santarosa"
Five Finger Death Punch,M.I.N.E (End This Way),"heavy metal, metal, Love, Ballad, 2010s"
El Gran Combo De Puerto Rico,Arroz Con Habichuela,"salsa, el gran combo de puerto rico, chacha, latin, arroz"
Caifanes,Para Que No Digas Que No Pienso en Ti,"Rock en Espanol, rock en español, rock, latin, mexico"
The Kentucky Headhunters,Spirit In The Sky,"Southern Rock, classic rock, rock, cover, rock n roll"
Billy Joel,The Stranger,"rock, classic rock, 70s, piano, pop"
Marilyn Manson,Antichrist Superstar,"industrial metal, industrial, metal, rock, marilyn manson"
Monica Naranjo,Sobreviviré,"spanish, Monica naranjo - sobrevivire, pop, female vocalists, Love Theme"
Phantogram,Fall In Love,"electronic, experimental, indie, indietronica, modern rock"
Boysetsfire,Rookie,"hardcore, post-hardcore, melodic hardcore, emocore, downhill"
Santigold,L.E.S. Artistes,"indie, electronic, female vocalists, alternative, indie electro"
"Luis Mateus,  David Rendon",Muero por Verla,Unknown
Tenth Avenue North,Worn,"christian rock, worn, vocals, christian, Uplifting"
"""The OJays""",I Love Music,Unknown
El Haragán y Compañía,A Esa Gran Velocidad,Unknown
Lisandro Meza,El Hijo de Tuta,Unknown
Gloriana,(Kissed You) Good Night,"country, Love, Kiss Me, female, male"
Mazzy Star,Flowers In December,"female vocalists, dream pop, indie, alternative, acoustic"
The Gaslight Anthem,"""45""","rock, punk rock, alternative rock, 8 of 10 stars, 2012"
Francis Lai,Un homme et une femme - Instrumental,"Soundtrack, easy listening, oldies, moje, Cafeteria La Sirena"
Color Me Badd,All 4 Love,"90s, pop, new jack swing, soul, color me badd"
Los Gatos,La Balsa,"60s, psychedelic, rock argento, classic rock, pop"
Nina Simone,My Way - Remastered,Unknown
Tanya Tucker,Two Sparrows In A Hurricane,"country, Two Sparrows In a Hurricane, tanya Tucker, female vocals, classic country"
Rod Stewart,You're in My Heart (The Final Acclaim),"rock, 70s, classic rock, pop, love songs"
Trick Daddy,Take It to da House,"Hip-Hop, rap, Trick Daddy, Dirty South, hip hop"
Michael Learns To Rock,The Actor,"danish, pop, 90s, love songs, mltr"
The Piano Guys,"O Come, O Come, Emmanuel","instrumental, christmas, holiday, classical crossover, The Piano Guys"
Pigeons Playing Ping Pong,Horizon,"jam band, jam classic"
Sergio Dalma,Esa Chica Es Mía,"pop in spanish, pop, beautiful, 90s, Espanol"
Fleetwood Mac,Skies the Limit,"rock, 90s, classic rock, 1990, christine"
Tropicalísimo Apache,Ojitos Mentirosos,Unknown
Burzum,Dunkelheit,"black metal, ambient black metal, dark ambient, Norwegian Black Metal, True Norwegian Black Metal"
The Black Angels,Young Men Dead,"Psychedelic Rock, rock, psychedelic, indie, indie rock"
Selena,Que Creías,Unknown
Ozzy Osbourne,I Just Want You,"heavy metal, metal, hard rock, rock, classic rock"
Los Temerarios,Derrotado y Sin Cariño,romantico
Brad Kane,One Jump Ahead,"Disney, Soundtrack, aladdin, musical, male vocalist"
Death,Symbolic,"death metal, Technical Death Metal, progressive death metal, metal, death"
TLC,Baby-Baby-Baby,"rnb, 90s, tlc, pop, female vocalists"
Trisha Yearwood,Walkaway Joe,"country, Trisha Yearwood, Walkaway Joe, female vocalists, sad"
Los Fabulosos Cadillacs,Yo No Me Sentaría En Tu Mesa - Remasterizado 2008,Unknown
Luis Miguel,Amante Del Amor,"Colombia, mexican, cumbia"
INXS,Beautiful Girl,"rock, 80s, INXS, pop, new wave"
La Sonora Altepexana,Gracias Amor,Unknown
Angels & Airwaves,Everything's Magic,"alternative rock, alternative, rock, punk rock, pop punk"
Silk,Lose Control,"slow jams, soul, 90s, love songs, quiet storm"
Gloria Trevi,Con los Ojos Cerrados,"latin pop, baladas espanol, pop, female vocalists, Rock en Espanol"
Chaka Khan,Love Me Still,"soul, chaka khan, female vocalist, 90s, rnb"
John Lennon,Love - Remastered 2010,marsot2004
Anthony Santos,Vete y Aléjate de Mi,Unknown
John Williams,The House - Instrumental,Unknown
Cornelio Reyna,Mandale Una Carta,Unknown
Limp Bizkit,Just Like This,"Nu Metal, rock, rapcore, limp bizkit, metal"
Céline Dion,Je sais pas,"french, pop, Celine Dion, female vocalists, Canadian"
Yusuf / Cat Stevens,How Can I Tell You,singer-songwriter
La Bouche,Sweet Dreams - Radio Version,"90s, eurodance, 1996"
Priscilla Chan,千千闋歌,"female vocalists, chinese, Hong Kong"
Juan Gabriel,Ases y Tercia de Reyes,Unknown
Elvis Presley,I Got Lucky,"60s, oldies, pop, catchy, cover"
DAVE RODGERS,SPACE BOY,"eurobeat, Initial D, anime, japanese, techno"
Caifanes,Estás Dormida,"1992, spanish fever, aquellas canciones unicas que me hacen sentir cosas mas alla de lo imaginable por cualquier mortal que tiene un gusto promedio por la musica, 162 bpm"
Bill Withers,Harlem,"soul, 70s, funk, dance, rhythm and blues"
Charles Trenet,Douce France,"chanson francaise, charles trenet, Chanson Française, male vocalists, supercla"
Simply Red,So Beautiful,"pop, soul, simply red, rock, british"
Marisela,A Escondidas,"pop, female vocalists, love songs, latin pop"
Daniel Johnston,Some Things Last A Long Time,"singer-songwriter, beautiful, Pitchfork 500, Love, daniel johnston"
Idir,A Vava Inouva,"berber, World Music, algeria, algerian, amazigh"
Lou Reed,Dirty Blvd.,"rock, new york, Lou Reed, singer-songwriter, album rock"
Firehouse,Here for You,"hard rock, power ballads, rock, Firehouse, hair metal"
311,Champagne,"alternative rock, alternative, reggae, Mellow, 311"
Lenny Kravitz,Let Love Rule,"rock, funk, Lenny Kravitz, alternative rock, 80s"
David Guetta,When Love Takes Over (feat. Kelly Rowland),"dance, House, electronic, club, David Guetta"
Toni Braxton,How Many Ways,"rnb, soul, female vocalists, pop, 90s"
The Cranberries,Salvation,"rock, 90s, female vocalists, irish, alternative"
Zapp,"So Ruff, so Tuff","80s, funk, rnb, 1981, vanity"
Roger,I Want to Be Your Man,"slow jams, 80s, funk, soul, soundtrackgdchill"
Days N Daze,Misanthropic Drunken Loner,"folk punk, 9 of 10 stars, nihilism, said it was me"
"Harry Connick,  Jr.",We Are In Love,"jazz, swing, Big Band, harry connick jr, Love"
Les Rita Mitsouko,C'est comme ça,"french, rock, alternative, nouvelle scene francaise, 80s"
Leslie Cheung,追,"Ballad, chinese, C-pop, Chinese male vocalists"
La Joven Guardia,El Extraño del Pelo Largo,Unknown
"""Comptons Most Wanted""",Late Night Hype,Unknown
Foreigner,Feels like the First Time - 2008 Remaster,Unknown
The Beatles,I Want To Tell You - Remastered 2009,"classic rock, six feet under, piano madness, got the time, man unkind"
Demis Roussos,Goodbye My Love Goodbye,"Demis Roussos, 70s, romantic, Schlager, oldies"
Sammy Davis Jr.,Something's Gotta Give,"jazz, swing, Rat Pack, oldies, male vocalists"
George Jones,If Drinkin' Don't Kill Me (Her Memory Will),"country, classic country, george jones, drinking, Honky Tonk"
Tom Jones,What's New Pussycat?,"60s, pop, oldies, Tom Jones, male vocalists"
"Johann Sebastian Bach,  Klaus-Peter Hahn","Suite for Violoncello Solo No. 1 in G Major, BWV 1007: I. Prélude",a-score2020-001
Blur,Girls and Boys - 2012 Remaster,"rock, new wave, britpop, synthpop, alternative dance"
The Orion Experience,The Queen of White Lies,mortphilio
Ralph Tresvant,Sensitivity,"new jack swing, 90s, rnb, smooth, soul"
Megadeth,Rust In Peace...Polaris - Remastered 2004,Unknown
Taylor Swift,Tell Me Why,"country, taylor swift, female vocalists, country pop, pop"
Jacques Brel,La chanson des vieux amants,"chanson, french, chanson francaise, jacques brel, belgian"
Chrisette Michele,A Couple Of Forevers,"Neo-Soul, chrisette michele, female vocalists, Smooth Jazz, Neo Soul"
Manowar,Battle Hymn,"heavy metal, true metal, Power metal, metal, manowar"
Silverchair,Israel's Son,"Grunge, rock, 90s, alternative, alternative rock"
Panic! At The Disco,That Green Gentleman (Things Have Changed),"alternative rock, rock, alternative, indie, pop"
Bronco,Un Golpe Más,Unknown
Climax Blues Band,I Love You,"80s, classic rock, rock, 70s, pop"
"Héctor Acosta ""El Torito""",Me Voy - Bachata,Unknown
Jane Child,Don't Wanna Fall in Love,"pop, 80s, dance, 90s, 1990"
Lee Hazlewood,Your Sweet Love,"singer-songwriter, oldies, folk, Lee Hazlewood, country"
Rigo Tovar,Noches Eternas - Versión Mariachi,Unknown
Van Halen,And the Cradle Will Rock... - 2015 Remaster,"hard rock, devon green, karma rx, kat dior, susy gala"
Rigo Tovar,Qué Manera De Perder - Versión Mariachi,Unknown
Bob Seger,Fire Lake,"rock, classic rock, 80s, singer-songwriter, hard rock"
Bob Seger,Her Strut,"classic rock, rock, 80s, Bob Seger, hard rock"
Van Halen,Everybody Wants Some!! - 2015 Remaster,"hard rock, devon green, karma rx, kat dior, susy gala"
Blondie,The Tide Is High - Edit,Unknown
Bruce Springsteen,The Ghost of Tom Joad,"rock, folk, classic rock, Bruce Springsteen, singer-songwriter"
James Brown,"It's A Man's, Man's, Man's World","soul, funk, 60s, rhythm and blues, blues"
Matthew Sweet,Girlfriend,"power pop, 90s, rock, Guitar Hero, alternative"
Gloria Gaynor,Can't Take My Eyes Off of You - Black Box Mix,my scribbled
Stromae,tous les mêmes,"french, electropop, belgian, sexy, dance"
Queen,Hammer To Fall - Remastered 2011,"rock, hard rock, Awesome, Favorite"
Metallica,Through The Never,"heavy metal, metal, thrash metal, metallica, rock"
Metallica,Holier Than Thou,"metal, heavy metal, thrash metal, metallica, hard rock"
Stevie B,Spring Love,"freestyle, 80s, latin freestyle, stevie b, 80s and 90s Freestyle Hits"
Los Tucanes De Tijuana,Gripa Colombiana,Unknown
"Bingo Players,  Far East Movement",Get Up (Rattle),"dance, 2013, electronic, bass, Rave"
Los Fabulosos Cadillacs,El Satánico Dr. Cadillac (Versión '93) - Remasterizado 2008,Unknown
John Lee Hooker,Chill Out (Things Gonna Change),"blues, guitar, jazz, Mellow, electric blues"
Twila Paris,How Beautiful,"christian, female vocalist, Soundtrack, seen live, Classical"
Cocteau Twins,Pitch the Baby,"dream pop, shoegaze, ethereal, post-punk, Cocteau Twins"
Alice In Chains,"Love, Hate, Love","Grunge, rock, alternative rock, 90s, hard rock"
"""Fat Larrys Band""",Zoom,Unknown
Wynton Marsalis,Where or When,"jazz, trumpet, mpsvd-jazz-m, jazz piano, wynton marsalis"
Beto Quintanilla,Piquete de Ojos,Unknown
Bad Company,If You Needed Somebody,"classic rock, rock, Bad Company, rock ballads, 90s"
Alice In Chains,Sea Of Sorrow,"Grunge, hard rock, rock, alternative rock, 90s"
"""The Go-Gos""",Head Over Heels,Unknown
Los Bondadosos,Un Angel No Debe Llorar,es uno de los buenos grupos i no pasa de epoca
Fleetwood Mac,Oh Daddy - 2004 Remaster,Unknown
Slightly Stoopid,No Cocaine,"reggae, chill, Surf, dub, funky"
"Frédéric Chopin,  Janusz Olejniczak","Nocturne in C-Sharp Minor, B. 49","Classical, western classical, instrumental, piano, Klassik"
Lamb,Gorecki,"trip-hop, chillout, electronic, female vocalists, electronica"
Strapping Young Lad,Love?,"metal, death metal, industrial metal, thrash metal, Progressive metal"
Meat Loaf,Hot Patootie - Bless My Soul,"Soundtrack, musical, Rocky Horror Picture Show, musicals, rock"
Washed Out,New Theory,"chillwave, electronic, Lo-Fi, indiewave, indie"
Tom Waits,Hold On,"singer-songwriter, blues, rock, Tom Waits, alternative"
Blackberry Smoke,Good One Comin' on,"Southern Rock, rock, 2009, country rock, 2000s"
W.A.S.P.,Animal (Fuck Like A Beast),"heavy metal, hard rock, metal, WASP, hair metal"
"Busta Rhymes,  Diddy,  Pharrell Williams",Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,"00s, 2000s, 2002, explicit lyrics, clear pronunciation"
Hans Zimmer,"Up Is Down - From ""Pirates of the Caribbean: At World's End""/Score","Classical, Soundtracks, film score, Film Soundtrack, western classical"
Anika Noni Rose,Down in New Orleans (Finale),"Disney, jazz, Jazz Vocal Tag, Soundtrack, pop"
Wiz Khalifa,This Plane,"hip hop, Hip-Hop, chill, rap, Crunk"
Gungor,Beautiful Things,"worship, beautiful things, christian, Christian Music, hand claps"
"Brooks & Dunn,  Reba McEntire",Cowgirls Don't Cry (feat. Reba McEntire),Unknown
Azul Violeta,Tu Luz,"Latin Rock, rock, favorites, Rock en Espanol, rock en español"
Noah And The Whale,Blue Skies,"folk, indie, Mellow, melancholy, indie folk"
