artists,name,genres
"Johann Sebastian Bach,  Oscar Levant","Partita No. 1 in B-Flat Major, BWV 825: IV. Sarabande",Unknown
Jaganmoy Mitra,Satti Bachhar Pore,Unknown
Carla Boni,Casetta in Canadà,Unknown
Francisco Canaro,El Vals de los Abuelos - Remasterizado,Unknown
"Frédéric Chopin,  Oscar Levant","Waltz No. 7 in C-Sharp Minor, Op. 64, No. 2 (Remastered)",Unknown
Tadeusz Dolega Mostowicz,Chapter 100.2 & Chapter 101.1 - Drugie życie doktora Murka,Unknown
Lalita Parulekar,Hay Ram Hay Jangal Men Mangal,Unknown
H.P. Lovecraft,Capítulo 12.4 - la Sombra Fuera del Tiempo,Unknown
Tanguturi Suryakumari,Murali Mohana,Unknown
Giacomo Rondinella,Viale d'autunno,Unknown
Carlo Buti,Stornelli fiorentini – parte 3,Unknown
Tadeusz Dolega Mostowicz,Chapter 210.2 & Chapter 211.1 - Drugie życie doktora Murka,Unknown
Bezawada Ch. Rajarathnam,Idi Manchi Samayamu,Unknown
"Ludwig van Beethoven,  Wilhelm Kempff","Piano Sonata No. 24 in F-Sharp Major, Op. 78 ""À Thérèse"": II. Allegro vivace",Unknown
Orchestra Studio 7,Anema e core - Musical base Version,Unknown
Orchestra Studio 7,'A discoteca - Instrument and base Version,Unknown
Carlo Buti,La vita è un paradiso di bugie,Unknown
V. Sivaram,Balarasala (Padyam),Unknown
Orchestra Studio 7,Silenzio cantatore - Instrument and base Version,Unknown
K.C.Dey,Radhe Bujhao Amare Keno,Unknown
Orchestra Studio 7,Tu vuò fa' l'americano - Musical base Version,Unknown
Claudio Villa,Santa Lucia lontana,Unknown
Orchestra Studio 7,Simmo 'e napule paisà - Musical base Version,Unknown
Orchestra Studio 7,Maruzzella - Instrument and base Version,Unknown
"Ludwig van Beethoven,  Berliner Philharmoniker,  Carl Schuricht","Symphony No. 6 in F Major, Op. 68 ""Pastoral"": 4. Gewitter, Sturm - Allegro",Unknown
"Wolfgang Amadeus Mozart,  Bidu Sayão,  Fausto Cleva,  Metropolitan Opera Orchestra","Voi che sapete from Le nozze di Figaro (The Marriage of Figaro), K. 492 (Act II)",Unknown
"Anil Biswas,  Maya",Gori Kahe Khadi Angana,Unknown
"Frédéric Chopin,  Oscar Levant","Waltz in C-Sharp Minor, Op. 64, No. 2","waltz, early romantic, romantic period"
"Claude Debussy,  Fritz Reiner,  Pittsburgh Symphony Orchestra","Images, L. 122: Ibéria: III. Le matin d'un jour de fete",Unknown
Amirbai Karnataki,Hua Kya Qusoor Jo Hamse Door,Unknown
Shanta Apte,He Natwar Girdhari,Unknown
"Ludwig van Beethoven,  Oscar Levant","Piano Sonata No. 8 in C Minor, Op. 13 ""Pathetique"": II. Adagio cantabile (Remastered)",Unknown
"Claude Debussy,  Oscar Levant","Deux Arabesques, L. 66: No. 2 in G Major. Allegretto scherzando",Unknown
Orchestra Studio 7,Vierno - Musical base Version,Unknown
Tadeusz Dolega Mostowicz,Chapter 12.11 - Drugie życie doktora Murka,Unknown
"Aram Khachaturian,  Oscar Levant,  Lou Bring,  Columbia Concert Orchestra",Gayane Ballet Suite: Lullaby (Remastered),Unknown
Natalino Otto,Tipitipitipso,Unknown
"Claude Debussy,  Oscar Levant","Images, 1ere série, L. 110: I. Reflets dans l'eau",Unknown
Neena,Man Ko Le Gaya Kaun Sakhi Ri,Unknown
Rita Abatzi,Τουρκολιμανιώτισσα,Unknown
"Gustave Charpentier,  Ileana Cotrubas,  New Philharmonia Orchestra,  Georges Prêtre",Depuis le jour from Louise - Voice,Unknown
"Anton Bruckner,  Bruno Walter,  New York Philharmonic","Te Deum, WAB 45: ""Aeterna fac"" - Allegro moderato",Unknown
Indu.,Rooth Gaye Manmohan Mere,Unknown
Serafim Gerotheodorou,I Exodos Tou Messologgiou,Unknown
Sotiris Stasinopoulos,Ta Provata Velazoune,Unknown
"Blanche Calloway & Her Joy Boys,  Vic Dickenson",Line-A-Jive,Unknown
Dimitris Filipopoulos,Oi Ginaikes Einai Oles Idies,Unknown
Y. Rosnblatt,Ovinu malkenu,Unknown
Coleman Hawkins,Passing It Around,Unknown
K Mullick,Jaal Gutiye Ne Maa Shyama,Unknown
Roza Eskenazi,Despo,Unknown
Λαϊκή Ορχήστρα Μιχάλη Φελουζή,Ζαντάνικος,Unknown
