track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
6XiSceaDaO2vaYF2B2A70t,No Me Hubiera Enamorado,Cornelio Vega y su Dinastia,66,El Problema,69,207364,False,2017-11-10,0.772,0.608,10,-5.746,1,0.0515,0.45,0.0,0.0897,0.776,148.081,Unknown
3w2G5Gw8OrgIS3GVC84JqF,El Paciente,Alfredo Olivas,0,La Rueda de la Fortuna,0,211320,False,2017-08-18,0.708,0.705,3,-3.561,1,0.0371,0.307,0.0,0.13,0.975,142.039,Unknown
7Jcvu13qlP4km0uDX9p2pZ,Que Bonito Es Querer,Ulices Chaidez,65,El Elegido,63,209664,False,2017-11-24,0.746,0.384,7,-6.905,0,0.0338,0.802,0.0,0.133,0.427,134.044,Unknown
198qSChSMQFuSimdeeY9gK,Vasos Vacíos - Remasterizado 2008,Los Fabulosos Cadillacs,70,El Ritmo Mundial,72,279986,False,1988-06-18,0.708,0.672,7,-5.538,1,0.0352,0.346,1.97e-05,0.382,0.963,134.635,Unknown
3paOSlqrFcMhdGDZ5513AJ,Me Dejé Llevar,Christian Nodal,67,Me Dejé Llevar,66,181453,False,2017-08-25,0.647,0.376,7,-5.299,1,0.0273,0.228,0.0,0.158,0.7,137.863,Unknown
3e0gMtgOOLGPFLzPWR7xzb,Officieel,Broederliefde,56,We Moeten Door,55,204787,True,2017-11-24,0.686,0.657,7,-8.38,0,0.471,0.208,0.0,0.227,0.425,104.761,rap
3hHHaTr65mG7bpApRW5CZQ,Merry,Nafthaly Ramona,38,Merry,41,153347,False,2017-11-10,0.945,0.603,8,-5.833,1,0.184,0.0297,0.0,0.0589,0.679,107.947,Unknown
5APk8dXNf2EN1bc34Tv46C,EWA,Bizzey,0,November,0,189211,True,2018-02-16,0.823,0.631,1,-5.909,1,0.0647,0.000451,0.00175,0.0973,0.405,108.001,Unknown
4I9YFbl7wBxgFsRfrV0RLS,No Go,Josylvio,0,Hella Cash,0,208852,True,2018-02-23,0.822,0.85,10,-4.292,0,0.132,0.21,0.0,0.335,0.76,122.056,Unknown
79TeMvi549XpZT2r5ZhdnU,Vervloekt,Frenna,0,We Don't Stop,0,149027,True,2017-11-17,0.832,0.655,1,-6.309,1,0.153,0.224,0.0,0.174,0.72,107.963,Unknown
4QXLXEcGPl18ghSz4cSEzP,In Amsterdam,Sevn Alias,23,Picasso,24,169979,True,2017-10-06,0.571,0.524,5,-7.329,0,0.44,0.812,7.19e-05,0.118,0.759,143.903,Unknown
49G1QitwJ7FLFqUS8b9Onp,Fan,Ronnie Flex,42,Fan,42,174011,False,2018-03-02,0.707,0.516,8,-7.308,1,0.0609,0.409,0.0,0.11,0.5,97.965,Unknown
0EpNQXAtOJNXaTK68f4dNg,Niet Alleen,Kevin,2,Niet Alleen,3,200334,True,2018-02-09,0.532,0.581,0,-6.334,0,0.27,0.0128,0.0,0.136,0.683,203.25,Unknown
5vHoK2rfXUTECtP7YHoEOu,Mamacita,Leafs,0,Adventures,0,169182,True,2017-12-08,0.67,0.497,10,-8.757,0,0.0821,0.0586,0.0,0.0959,0.598,160.089,Unknown
3KbEjgh1xjxhK4qSAAz5FZ,Beng (feat. SBMG),$hirak,28,Beng (feat. SBMG),35,193629,True,2018,0.945,0.594,11,-7.147,0,0.141,0.247,0.00468,0.0518,0.853,129.965,"rap, dutch"
7sMPXHS84uuTGeb21IgXnU,Ride Or Die,Josylvio,55,Ride Or Die,54,168256,False,2017-09-22,0.726,0.691,0,-4.753,1,0.275,0.626,0.0,0.0735,0.384,99.728,Unknown
3WH2L6j0aYNfmMG8tvIOxY,Nikes,Jacin Trill,29,Zo Vader Zo Zoon,32,162289,True,2018-02-09,0.844,0.681,1,-5.647,0,0.187,0.165,0.0,0.112,0.691,82.981,Unknown
7b2fgSJjS8ui5p88HY1zzw,A2,Lijpe,0,A2,0,162061,False,2018-02-21,0.768,0.673,9,-6.879,0,0.279,0.557,0.0,0.157,0.401,97.006,Unknown
2QWPb6jDxCIDBBllquNCWx,LIT,The Partysquad,25,LIT,28,149993,True,2018-01-25,0.806,0.815,7,-5.066,0,0.217,0.0929,0.0,0.208,0.855,105.068,Unknown
2fBHmGi4cnKynlXd7P6GZD,Stop Met Typen,Equalz,49,Reloaded,53,129956,False,2017-12-01,0.812,0.751,7,-4.373,1,0.241,0.172,0.0,0.146,0.863,98.66,Unknown
