artists,name,genres
"Sergei Prokofiev,  Royal Scottish National Orchestra,  Neeme Järvi","Lieutenant Kijé, Op. 60: II. Romance",Unknown
Lee Morgan,The Sidewinder,"jazz, trumpet, bebop, cool jazz, Hard Bop"
Richard Thompson,I Feel So Good,"rock, folk, chillout, singer-songwriter, feel good"
Steely Dan,Barrytown,"70s, Jazz Rock, classic rock, rock, steely dan"
Death,Lack of Comprehension,"death metal, Technical Death Metal, progressive death metal, metal, death"
The Clovers,One Mint Julep - 2007 Remaster,oldies
Lynyrd Skynyrd,Was I Right Or Wrong - Demo Version,Unknown
Sting,Why Should I Cry For You? - Radio Mix,Unknown
Bad Company,Movin' On - 2015 Remaster,Unknown
Dinah Washington,After You've Gone,"female vocalists, jazz, blues, vocal, jazz vocal"
R.E.M.,Texarkana,"alternative rock, rock, 90s, alternative, REM"
Spin Doctors,What Time Is It?,"rock, alternative rock, 90s, funky, funk"
"Ludwig van Beethoven,  Nikolaus Harnoncourt,  Chamber Orchestra of Europe","Beethoven: Symphony No. 1 in C Major, Op. 21: II. Andante cantabile con moto",Unknown
Pixies,Bird Dream of the Olympus Mons,"rock, alternative rock, indie, alternative, indie rock"
Yellowman,Morning Ride,"reggae, dancehall, Yellowman-Morning Ride, ska, jamaica"
Slowdive,Slowdive,"shoegaze, dream pop, Slowdive, Dreamy, slow"
Elton John,Roy Rogers - Remastered 2014,Unknown
Pixies,Trompe le Monde,"rock, alternative rock, alternative, indie, indie rock"
Leo Sayer,Long Tall Glasses (I Can Dance) - Remastered,Unknown
Testament,The Legacy,"thrash metal, heavy metal, metal, Ballad, Testament"
Ted Hawkins,Bring It Home Daddy,"soul, 80s, singer-songwriter, country blues, bestallof"
Gloria Estefan,Conga,"latin, dance, 80s, pop, female vocalists"
Jimmy Buffett,Nautical Wheelers,"classic rock, pop, rock, folk, acoustic"
Thunder,Dirty Love,"rock, hard rock, classic rock, thunder, 80s"
Jerry Garcia,That's What Love Will Make You Do,"rock, fip, live, jerry garcia, JGB"
The Wailers,Duppy Conqueror,"reggae, Bob Marley, Wailers, roots reggae, strings organs rubber wind"
Toots & The Maytals,Sailing On,"reggae, test, chill, 2002, nautical"
"Boyz II Men,  Rex Salas","Al Final Del Camino (End Of The Road, Spanish Version)",Unknown
T. Rex,Life's a Gas - Remastered,Unknown
Luther Vandross,She's a Super Lady,"soul, 80s, funk, funky, rnb"
Les Rita Mitsouko,Un soir un chien,"fip, eclectonia, all in a day, amable animal"
Wham!,Battlestations,"new wave, pop, 80s, soft rock, vugube62"
"Gustav Holst,  Berliner Philharmoniker,  Herbert von Karajan","The Planets, Op. 32: 4. Jupiter, the Bringer of Jollity",Unknown
Toto Cutugno,Buonanotte,"pop, 80s, italian, 1986"
Ringo Starr,I'm The Greatest,"classic rock, rock, 70s, ringo starr, pop"
Joe Bataan,The Prayer,"soul, laidback"
Sad Lovers & Giants,Colourless Dream,"new wave, post-punk, 80s, 80's, sleep and dreams"
The Rolling Stones,Star Star - Remastered,Unknown
Sonora Ponceña,Aguinaldo Antillano,Unknown
"Meredith Monk,  Collin Walcott",Cow Song,"contemporary classical, minimalism, Contemporary, frauen und technik, animals"
Hombres G,Lawrence de Arabia,"seen live, Rock Pop, Rock en Espanol, Favourites, true"
Bobby Womack,That's The Way I Feel About 'Cha,"soul, blues, r and b, classic, Old School soul"
"Andrew Lloyd Webber,  Paul Miles-Kingston,  Winchester Cathedral Choir,  English Chamber Orchestra,  James Lancelot,  Lorin Maazel,  Sarah Brightman",Requiem: 7. Pie Jesu,"musical, requiem, Lloyd Webber"
Frankie Valli & The Four Seasons,Can't Take My Eyes off You - Live,Unknown
Waterfront Home,Take A Chance,"Disco, dance, club"
Roger Waters,5:06AM (Every Strangers Eyes),"Progressive rock, Pink Floyd, Psychedelic Rock, Roger Waters, doSluchania"
Madonna,Like a Virgin - Extended Dance Remix,"Madonna, electronic, pop, 80s, remix"
Nik Kershaw,Wide Boy,"80s, pop, new wave, rock, male vocalist"
Jorge Ben Jor,Vem Morena Vem,"brasileirinhos, on an island above"
Gerry & The Pacemakers,Jambalaya (On the Bayou) - Stereo; 1997 Remaster,Unknown
Chaka Khan,"I Know You, I Live You","soul, funk, female vocalists, RB, 80s"
Madonna,True Blue - The Color Mix,"remix, mix, Madonna, mother, legend"
Vivian Chow,痴心換情深,Unknown
Swing Out Sister,"Twilight World - Superb, Superb, Mix","80s, Swing out Sister, jazz influenced pop"
"Camille Saint-Saëns,  Slovak Radio Symphony Orchestra,  Keith Clark",Danse macabre,"Classical, instrumental, orchestral, classic, halloween"
REO Speedwagon,Golden Country,"classic rock, rock, hard rock, 70s, political"
Robert Plant,Burning down One Side - 2006 Remaster,Unknown
Huey Lewis & The News,Workin For A Livin,"rock, classic rock, 80s, pop rock, 1982"
羅大佑,戀曲1990,Unknown
"The Pogues,  The Dubliners",The Irish Rover (feat. The Dubliners),celtic punk
Billy Ocean,The Colour of Love,"80s, pop, soul, 1988, jazzyslovedrnbsoul"
"Franz Liszt,  Evgeny Kissin","Liebestraum, S. 541, No. 3",Unknown
"""Guns N Roses""",Shadow Of Your Love,Unknown
"Merle Haggard,  Willie Nelson",It's My Lazy Day,Merle Haggard
U2,Running To Stand Still - Live,"classic rock, seen live, rock, favourite, live"
Van Halen,Big Bad Bill (Is Sweet William Now) - 2015 Remaster,"jazz, 80s, hard rock, cover, van halen"
Ann Peebles,99 Lbs,"soul, female vocalists, funk, blues, fip"
U2,Medley: I Still Haven’t Found What I’m Looking For / Exodus - Live,Unknown
T. Rex,Metal Guru,"glam rock, 70s, classic rock, rock, glam"
Bauhaus,The Man with X-Ray Eyes,"post-punk, Gothic Rock, Love, punk, Gothic"
Fleetwood Mac,"You and I, Pt. II - 2017 Remaster",Unknown
Television Personalities,Diary Of A Young Man,"Post punk, post-punk, lizvelrene postpunk, 80s, twee"
Bruce Springsteen,Two Faces,"rock, singer-songwriter, pop rock, heartland rock, hopuke42"
New Order,Bizarre Love Triangle - Extended Dance Mix,"80s, work"
Siouxsie and the Banshees,Night Shift,"post-punk, goth, 80s, Gothic, Gothic Rock"
Sting,The Lazarus Heart,"rock, 80s, pop, jazz, sting"
Discharge,Protest and Survive,"d-beat, hardcore punk, punk, hardcore, political"
Paul Davis,I Go Crazy - Single Version,Unknown
Waylon Jennings,Brown Eyed Handsome Man,"country, classic country, cover, outlaw country, Waylon Jennings"
Souls Of Mischief,Let 'Em Know,"Hip-Hop, hip hop, rap, underground hip-hop, 90s"
"""Sergio Mendes & Brasil 66""",Wave,Unknown
Hashim,Al-Naafyish - Time,"imported by drip.feed, ElectglitchdubhoP"
"Dolly Parton,  The Christ Church Choir",High And Mighty (with The Christ Church Choir),"pop, country, bluegrass, gospel, country pop"
The Everly Brothers,Lord of the Manor,"fip, everly brothers"
2Pac,Point The Finga,"hip hop, Gangsta Rap, west coast hip-hop, rap, 2pac"
"John Williams,  London Symphony Orchestra",Into the Trap,"Soundtrack, Star Wars, instrumental, Classical, Soundtracks"
2Pac,Souljah's Revenge,"hip hop, Gangsta Rap, rap, West Coast Rap, west coast hip-hop"
Mazzy Star,Unreflected,"female vocalists, alternative, rock, dream pop, indie"
Chris Isaak,Two Hearts,"rock, chris-isaak, 90s, rockabilly, Soundtrack"
Johnny Lee (With Lane Brody),The Yellow Rose,Unknown
Sonny & Cher,Tell Him,"pop, cover, duets"
Mötley Crüe,In The Beginning,"hard rock, heavy metal, motley crue, metal, hair metal"
Los Tigres Del Norte,La Segunda Carta,Unknown
Los Tigres Del Norte,Leopoldo Rios,Unknown
Stevie Nicks,Enchanted - 2016 Remaster,Unknown
"Hank Williams,  Jr.",Can't You See,Unknown
The Cramps,Domino,"psychobilly, punk, Garage Rock, rockabilly, rock"
Naked Eyes,When the Lights Go out - 2018 Remaster,Unknown
Mazzy Star,So Tonight That I Might See,"female vocalists, alternative, dream pop, rock, psychedelic"
Los Tigres Del Norte,La Daga,Unknown
Selena,La Carcacha/Besitos - Live,Unknown
Waylon Jennings,I've Been a Long Time Leaving (But I'll Be a Long Time Gone),"country, 70s, roadtrip, My Country"
Grupo Bryndis,Cuando Llega Un Adios - Poema,Unknown
Waylon Jennings,Don't You Think This Outlaw Bit's Done Got out of Hand,"country, outlaw country, Rockin Outlaw Stuff, classic country, Waylon Jennings"
Tanya Tucker,San Antonio Stroll,"country, tanya Tucker, classic country, Southern Rock, country legends"
"Alison Krauss,  The Cox Family",I Know Who Holds Tomorrow,Folk Bluegrass Country
Sun,I Had A Choice,"funk, jazz-funk, Old School Hip Hop, 70s soul"
Boston,Surrender To Me,"classic rock, hard rock, rock, 80s, 70s"
The Whispers,(Olivia) Lost and Turned Out,"soul, Old School soul, oldie, smooth, Love"
"Keith Whitley,  Earl Thomas Conley",Brotherly Love,"country, duet, 1991, 80s, cover"
Sebadoh,Not Too Amused - Remastered,indie
Echo & the Bunnymen,Nocturnal Me,"post-punk, new wave, 80s, alternative, Post punk"
Method Man,Tical,"rap, hip hop, Hip-Hop, Wu-Tang Clan, dark"
R.E.M.,(Don't Go Back To) Rockville,"rock, alternative rock, 80s, alternative, jangle pop"
Los Bukis,Contra Viento Y Marea,Unknown
"Rocío Dúrcal,  Juan Gabriel",Tarde (with Juan Gabriel) - En Vivo,Unknown
G. Love & Special Sauce,This Ain't Living,"jazzy hip hop, chill, blues, alternative, Mellow"
Live,Shit Towne,"rock, alternative rock, 90s, alternative, Grunge"
Firefall,Just Remember I Love You,"70s, easy listening, classic rock, soft rock, Firefall"
Pharoah Sanders,Greeting To Saud (Brother McCoy Tyner),"jazz, piano, pharoah sanders, chillout, 70s"
