artists,name,genres
Bobby Darin,A Nightingale Sang In Berkeley Square - 2001 Digital Remaster,Unknown
"George Gershwin,  Columbia Symphony Orchestra,  Leonard Bernstein",Rhapsody in Blue,"Classical, jazz, piano, gershwin, instrumental"
Slick Rick,Sittin' In My Car,"hip hop, hiphop, beatboxing, Jazz Hop, Oldschool Hip-Hop"
Alphaville,Dance With Me,"80s, synthpop, new wave, pop, dance"
"Rufus,  Chaka Khan",Tell Me Something Good,"funk, soul, 70s, rufus, chaka khan"
Mary J. Blige,You Remind Me,"rnb, soul, female vocalists, mary j, you remind me"
"Francis Poulenc,  Daniel Müller-Schott/Robert Kulek","Poulenc: Cello Sonata, FP 143: II. Cavatine","Classical, instrumental, cello, contemporary classical, wood and string"
Gary Clark Jr.,Bright Lights,"blues rock, soul, blues, funk, rock"
The Mamas & The Papas,Straight Shooter,"60s, classic rock, Fleetwood Mac, oldies, rock"
FIDLAR,No Waves,"Garage Rock, alternative, summer, punk rock, Bagel"
"Peter,  Paul and Mary",500 Miles,Unknown
Ansel Collins,Stalag 17,"reggae, Stalag Riddim, dancehall, dub, Riddim"
BoA,No.1,"BoA, JPop, k-pop, j-pop, female vocalists"
"Bill Evans,  Jim Hall",Dream Gypsy,"jazz, jazz fusion, bebop, cool jazz, jazz guitar"
Simple Plan,Untitled (How Could This Happen to Me?),"pop rock, emo, sad, piano, pop punk"
Grand Funk Railroad,The Loco-Motion - Remastered 2002,Unknown
Soda Stereo,No Existes - Remasterizado 2007,Unknown
Beyoncé,Ring The Alarm,"rnb, beyonce, pop, female vocalists, dance"
Janis Joplin,Little Girl Blue,"blues, classic rock, female vocalists, Janis Joplin, 60s"
George Winston,The Holly and The Ivy,"piano, christmas, instrumental, new age, George Winston"
Luis Enrique,Tú No Le Amas Le Temes,salsa
"Willie Nelson,  Ray Charles",Seven Spanish Angels (With Ray Charles),"country, folk, americana, duets, listened"
Grupo Laberinto,Regalo Caro,Unknown
Juan Gabriel,Ya Lo Pasado Pasado (En Vivo) - En el Palacio de Bellas Artes,Unknown
Engelbert Humperdinck,The Way It Used To Be,"oldies, engelbert humperdinck, 60s, romantic, pop"
"Tsai Chin,  余天,  Julie Sue,  潘越雲,  Jenny Tseng,  李建復,  林慧萍,  Wang Zhi Lei,  Tracy Huang,  Hong Ronghong,  Sarah Chen,  金智娟,  王夢麟,  李佩菁,  Fei Yu-ching,  Chyi Yu,  鄭怡,  Jody Chiang,  Diana Yang",明天會更好,Unknown
Johnny Hallyday,J'ai oublié de vivre,"chanson francaise, france, My Favs"
Ted Hawkins,Sorry You're Sick,"blues, acoustic, 80s, folk, 90s"
