artists,name,genres
"Armin van Buuren,  HALIENE",Song I Sing (Mixed),Unknown
Bob Dylan,Little Sadie,"folk, folk rock, murder ballads, Murder ballad, rock"
"B.B. King,  Leon Russell",Ask Me No Questions - Single Version,Unknown
The Originals,The Bells,"motown, soul, oldies, old soul, the bells"
Queen,Teo Torriatte (Let Us All Cling Together),"classic rock, rock, 70s, Queen, piano"
Fleetwood Mac,Sara (3/10/79) - 3/10/79; 2015 Remaster,Unknown
Frank Sinatra,Zing! Went The Strings Of My Heart (outtake) - Outtake,Unknown
Frank Sinatra,A Foggy Day,"jazz, swing, oldies, frank sinatra, Big Band"
Waylon Jennings,T For Texas - Live in Texas - September 1974,Unknown
Queens of the Stone Age,"You Can't Quit Me, Baby - Live At Brixton Academy / 2005",Unknown
Queens of the Stone Age,Little Sister - Live At Brixton Academy / 2005,Unknown
The Manhattans,Take It or Leave It,"soul and rnb classics, soul, Take It or Leave It"
The Runaways,American Nights,"rock, 70s, hard rock, The Runaways, punk"
The Four Lads,Standing On the Corner,"50s, oldies, the four lads, pop, 1956"
Todd Rundgren,Just One Victory - 2015 Remaster,teenage symphonies to god
John Denver,Season Suite: Summer,John Denver
Hour Glass,B.B. King Medley: Sweet Little Angel/It's My Own Fault/How Blue Can You Get,Unknown
Lorenzo De Monteclaro,La Paloma,Unknown
Blue Öyster Cult,7 Screaming Diz-Busters,"hard rock, classic rock, rock, 70s, Progressive rock"
Dr. John,Peace Brother Peace,"New Orleans, jazz, rock, funk, blues"
Jeff Beck,Play with Me,"guitar, Fusion, blues, classic rock, rock"
"George Frideric Handel,  Academy of St. Martin in the Fields,  Sir Neville Marriner",Messiah / Part 1: Pifa (Pastoral Symphony),Unknown
Marty Robbins,Song of the Bandit,"classic country, 60s"
Ray Charles,Just for a Thrill,"soul, blues, damages, jazz, pop"
Charley Pride,Little Drummer Boy,christmas
The Ventures,Home - Stereo,Unknown
"The Miracles,  Marvin Gaye",I Love You Secretly,soul
Billy Walker,Come a Little Bit Closer,"bestallof, newbest, lobest, midbest, seebest"
Antônio Carlos Jobim,Samba de Aviao,Unknown
"Johnny Cash,  Waylon Jennings",American by Birth,Unknown
Ohio Players,Pain,"funk, soul, 70s, 1971, Funk Tag"
The Guess Who,Bus Rider,"70s, classic rock, rock, Southern Rock, power pop"
Los Troqueros,El Troquero,Mexico lindo y Querido
Julie London,You'd Be So Nice To Come Home To,"jazz, female vocalists, jazz vocal, vocal jazz, lounge"
Cro-Mags,Hard Times,"hardcore, hardcore punk, nyhc, punk, oldschool hardcore"
Pat Boone,Adeste Fideles,holidays
Ricky Nelson,Old Enough To Love - Remastered,Unknown
The Gun,Race with the Devil,"60s, hard rock, rock, classic rock, oldies"
Boz Scaggs,Jump Street - Live Version,Unknown
"George Frideric Handel,  Academy of St. Martin in the Fields Chorus,  Academy of St. Martin in the Fields,  Sir Neville Marriner","Messiah, HWV 56 / Pt. 1: ""Glory To God In the Highest""",Unknown
Bob Seger,Comin' Home,"classic rock, rock, hard rock, Bob Seger"
The Roches,Losing True,"folk, spiritual, loved, harmony, love-amor"
Burton Cummings,Your Back Yard,"pop, lovedproperty, stalkersong"
P.O.D.,Lights Out - 2006 Remaster,Unknown
Bad Brains,Hired Gun,"hardcore, punk, rock, 80s, 1986"
The Cramps,Aloha from Hell,"psychobilly, rockabilly, horror punk, surf rock, best of satan and hell"
Book Of Love,Book of Love,"new wave, pop, 80s, Love, synthpop"
Lynyrd Skynyrd,Gimme Back My Bullets - Live At The Fox Theatre/1976,Unknown
Genesis,One for the Vine,"Progressive rock, classic rock, rock, 70s, art rock"
Lynyrd Skynyrd,Travellin' Man - Live / Fox Theater 2001,Unknown
Lynyrd Skynyrd,Gimme Three Steps - Live At The Fox Theater/1976,Unknown
Lynyrd Skynyrd,The Needle And The Spoon - Live / Fox Theater 2001,Unknown
Genesis,Los Endos,"Progressive rock, rock, classic rock, genesis, instrumental"
Genesis,"Robbery, Assault and Battery","Progressive rock, rock, art rock, classic rock, genesis"
XTC,Season Cycle - Remastered 2001,Unknown
Cro-Mags,Street Justice,"hardcore punk, hardcore, nyhc, crossover thrash, You are not worth for my hate"
P.O.D.,Set Your Eyes to Zion - 2006 Remaster,Unknown
Blondie,Youth Nabbed As Sniper - Remastered,Unknown
Graham Nash,There's Only One,"rock, folk-rock, classic rock, singersongwriter, country-rock"
Graham Nash,Man in the Mirror,"classic rock, rock, folk rock, 70s, folk"
"Crosby,  Stills,  Nash & Young",Pre-Road Downs - Live,Unknown
The Band,Life Is A Carnival - Remastered 2000,Unknown
James Taylor,Another Day,"folk, acoustic, singer-songwriter, easy listening, 70s"
Siouxsie and the Banshees,Suburban Relapse,"post-punk, new wave, goth, rock, Gothic Rock"
"George Frideric Handel,  Elly Ameling,  Academy of St. Martin in the Fields,  Sir Neville Marriner","Messiah, HWV 56 / Pt. 1: ""Rejoice Greatly, O Daughter Of Zion""",Unknown
Roy Ayers Ubiquity,You And Me My Love,"soul, 70s, funk, jazz, smoove sounds"
Cheo Feliciano,Canta,"salsa, mambo"
James Taylor,Another Grey Morning,"70s, james taylor, folk, singer-songwriter, acoustic"
The Beach Boys,California Girls (Stereo),"60s, pop, The Beach Boys, GH10"
Fleetwood Mac,Somebody,"Fleetwood Mac, christine mcvie, danny kirwan, Future games, penguin"
Al Green,Your Love Is Like the Morning Sun,"soul, smooth, 70s, Ballad, RB"
Grant Green,Miss Ann's Tempo - Rudy Van Gelder Edition / Remastered 2009,Unknown
Martin Denny,Hawaiian War Chant,hawaiian war chant
Elia y Elizabeth,Descripción,Unknown
Lynyrd Skynyrd,Saturday Night Special - Live At The Fox Theater/1976,Unknown
Ted Nugent,Hammerdown,"classic rock, hard rock, rock, Ted Nugent, heavy metal"
"""Sergio Mendes & Brasil 66""",Look Around,Unknown
Badfinger,Rock Of All Ages - Remastered 2010,Unknown
XTC,Another Satellite - Remastered 2001,Unknown
Julie Brown,The Homecoming Queen's Got a Gun,"comedy, novelty, female vocalists, 80s, funny lyrics"
The Salsoul Orchestra,Christmas Time,"christmas, Disco, soul, Christmas Songs, Weihnachten"
"Pyotr Ilyich Tchaikovsky,  The Strings of the Philadelphia Orchestra,  Eugene Ormandy,  Philadelphia Orchestra","Serenade in C Major, Op. 48, TH 48: II. Walzer",Unknown
The Who,I Can See For Miles - Mono Version,classic rock
Michael Hurley,Light Green Fellow,"americana, check out, light green, gammarec, s y s l o v o"
Dolly Parton,If I Lose My Mind,"country, abuse, mother, Insanity, Maroshcka"
Tom T. Hall,Tulsa Telephone Book,"country, My Country"
Cheo Feliciano,Mi Triste Problema,Unknown
Ritchie Valens,Hi-Tone,"oldies, rock n roll, 50s, Rock n' Roll, ritchie valens"
REO Speedwagon,Open Up,Unknown
Bobby Bare,Ride Me Down Easy,"country, classic country, 70s, Ballad, 1973"
Cheo Feliciano,Pa' Que Afinquen,Unknown
The Kinks,Muswell Hillbilly,"classic rock, rock, country-rock, 70s, country rock"
Santana,Para los Rumberos,"rock, latin, jazz fusion, Latin Rock, Psychedelic Rock"
The Moody Blues,You Can Never Go Home,"70s, strings organs rubber wind, rock, Progressive rock, Symphonic Rock"
B.B. King,Medley: 3 O'Clock Blues/Darlin' You Know I Love You,"blues, live version, extended version, CCjail, Talks to Prisoners"
B.B. King,Every Day I Have The Blues,"blues, jazz, guitar, B B King, blues favorites"
Jimi Hendrix,Earth Blues,"classic rock, rock, psychedelic, 60s, Psychedelic Rock"
Al Green,All Because,"soul, RB, blues, funk grunts, Because i said so"
The Doobie Brothers,Without You - 2006 Remaster,Unknown
The Stylistics,Could This Be The End,"soul, goodbye, Could This Be The End"
Connie Francis,Mama,"oldies, 50s, 60s, female vocalists, easy listening"
Hank Thompson,Cocaine Blues,"country, classic country, Honky Tonk, western swing, pop"
Sun Ra,'Round Midnight,"jazz, sun ra, jazz standards, jazz vocal, piano"
Link Wray,Crowbar,wondo blues
Michael Hurley,Open Up,"folk, folk-rock, Lo-Fi, singer-songwriter, quirky"
"Frédéric Chopin,  Alicia de Larrocha","Nocturne in B Major, Op. 32, No. 1","piano, romantic"
Gene Simmons,Mr. Make Believe,"hard rock, tagged, kiss, tags, Gene Simmons"
Ray Conniff,Only You (And You Alone),Unknown
Frank Sinatra,Someone To Watch Over Me - Remastered,Unknown
"George Frideric Handel,  Elly Ameling,  Academy of St. Martin in the Fields,  Sir Neville Marriner","Messiah / Part 1: ""There were shepherds... And lo, the angel of the Lord... And the angel said unto them - And suddenly""",Unknown
Al Green,You Say It,"soul, 70s, funk, funkfamilystone"
Roy Ayers Ubiquity,It Ain't Your Sign It's Your Mind,"funk, soul, jazz, 70s, jazz fusion"
Johnny Cash,These Things Shall Pass,"country, folk, gospel, Ballad, 5 of 10 stars"
"Sonny Rollins,  The Modern Jazz Quartet",No Moe - Instrumental,Unknown
"Felix Mendelssohn,  Glenn Gould","Song Without Words in E Major, Op. 19, No. 1",Unknown
"Roman Messer,  Christina Novelli,  Jorn Van Deynhoven",Fireflies - Jorn van Deynhoven Remix,Unknown
Los Teen Tops,Lucila - Lucille (Remasterizado),Unknown
Funkadelic,You Can't Miss What You Can't Measure,"funk, soul, chill, 70s, RB"
Afrosound,Sabor Navideño - Coros,Unknown
Led Zeppelin,The Crunge - Rough Mix - Keys Up,Unknown
Ben E. King,I Promise Love - Mono,Unknown
The Marshall Tucker Band,I Should Have Never Started Lovin' You,"Southern Rock, classic rock, rock, 70s, country"
Lynyrd Skynyrd,Sweet Home Alabama - Live / Fox Theater 2001,Unknown
"Earth,  Wind & Fire",Spirit,Unknown
Eddie & The Hot Rods,Do Anything You Wanna Do,"punk, 70s, new wave, pub rock, rock"
Eddie Money,Save A Little Room In Your Heart,Unknown
Sonny Clark,Sonny's Crip,"jazz, piano, bop"
The Dave Clark Five,I Like it Like That - 2019 - Remaster,Unknown
Queen,Father To Son - Remastered 2011,"Queen, rogertaylor, brianmay, freddiemercury, johndeacon"
Queen,Bring Back That Leroy Brown,"rock, classic rock, hard rock, Queen, glam rock"
Bonnie Raitt,Walking Blues - Remastered Version,Unknown
George Shearing,Lullaby Of Birdland,"jazz, jazz piano, piano, instrumental, Lullaby Of Birdland"
Alice Cooper,Sun Arise,"hard rock, cover, rock, 70s, glam rock"
"Psalty,  Ernie Rettino,  Debby Kerner Rettino",Cares Chorus,Unknown
The Marshall Tucker Band,Never Trust a Stranger,"classic rock, blues rock, hotrodlincon19, rock, Southern Rock"
The Damned,I Feel Alright,"punk, cover, punk rock, 1970, covers"
Townes Van Zandt,Rex's Blues - Live,Unknown
Ray Conniff,O Little Town Of Bethlehem,"christmas, music for me, music for H, Ray Conniff"
Roy Ayers Ubiquity,Lonesome Cowboy,"funk, soul, 70s, 1976, USA"
Fleetwood Mac,Miles Away,"Fleetwood Mac, christine mcvie, danny kirwan, Future games, penguin"
Little Feat,Lafayette Railroad,"rock, instrumental, classic rock, Southern Rock, 70s"
Electric Light Orchestra,Ocean Breakup / King of the Universe,"70s, Symphonic Rock, Electric Light Orchestra"
Daryl Hall & John Oates,Laughing Boy,"pop, classic rock, piano, Blue-Eyed Soul, trumpet"
REO Speedwagon,Oh Woman,"rock, 70s"
Cecilio & Kapono,Friends,"da kine hawaiian, personal favourites, hawaiian music, Cecilio and Kapono"
Bonnie Raitt,Any Day Woman - Remastered Version,Unknown
Little Feat,Snakes on Everything,"classic rock, blues rock, Southern Rock, 70s, blues-rock"
Eagles,"James Dean - Live at The Forum, Los Angeles, CA, 10/20-22/1976",Unknown
Danny Elfman,"Breakfast Machine - From ""Pee Wee's Big Adventure""","pee wee, pee-wee herman, pee wee herman, pee-wee, peewee herman"
"Traditional,  Eugene Ormandy,  Philadelphia Orchestra",The First Noël,Unknown
Reba McEntire,White Christmas,"jazzysxmas, christmas, country christmas, Christmas Songs, ljx-01"
Eddie Money,Wanna Be a Rock 'n' Roll Star,"rock, classic rock, Rock and Roll, 70s, 80s"
Johnny Cash,Lead Me Gently Home,"country, rockabilly, folk, gospel, rock n roll"
Johnny Cash,Lead Me Father,"country, gospel, vocal, folk, guitar"
Sun Ra,Hour of Parting,"mental, space, gospel, SUN, Ra"
"El Gran Combo De Puerto Rico,  Gilberto Santa Rosa,  Andy Montañez,  Pellin Rodriguez",Me Libere,"salsa, latino, zaplatina"
Paul McCartney,Hot As Sun - Live At Glasgow / 1979 / Remastered 2011,Unknown
Elton John,Grey Seal,"rock, classic rock, 70s, glam rock, pop"
Frank Sinatra,My Kind Of Town - Live At The Sands Hotel And Casino/1966,Unknown
"Dale Carnegie,  Till Hagen,  Stefan Kaminski","Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 1",Unknown
Townes Van Zandt,Nine Pound Hammer - Live,Unknown
Waylon Jennings,If You See Me Getting Smaller,"country, perisabelolmos"
Big Bird,Alphabet Song,"C, g, k, f, R"
John Coltrane,"Giant Steps - Alternate Version, Take 1, Incomplete","bebop, cool jazz"
Lynyrd Skynyrd,You Got That Right - Remix / Alternate Version,Unknown
Genesis,The Lamb Lies Down on Broadway - Live in Paris,Unknown
Little Feat,Time Loves a Hero,"rock, classic rock, blues, guitar, funky"
Little Feat,Missin' You,"rock, 70s, folk, acoustic, little feat"
Dwight Yoakam,Johnson's Love,"country, new traditionalist, hotbest, late 80s country"
Poco,Indian Summer,"classic rock, 70s, country rock, soft rock, Poco"
Chet Baker Quartet,Isn't It Romantic?,jazz fusion
"Fritz Kreisler,  Isaac Stern,  Milton Katims,  Columbia Symphony Orchestra","3 Old Viennese Dances: No. 2, Liebesleid (Arr. for Violin & Orchestra)",Unknown
Mountain,Don't Look Around,"classic rock, hard rock, 70s, blues rock, rock"
Joan Baez,Mary Hamilton,"folk, Joan Baez, singer-songwriter, 60s, female vocalists"
The Bar-Kays,Holy Ghost,"funk, soul, 70s, funky, more cowbell"
Dinah Washington,There Goes My Heart,"oldies, love song, My Favorites"
Sly & The Family Stone,Runnin' Away - single master,Unknown
Van Morrison,Crazy Face - 1999 Remaster,Unknown
Freddie Hubbard,Delphia,"jazz, trumpet, jazz trumpet, milk is getting warm, freddie hubbard"
Al Green,Livin' for You,"soul, al green, 1973, weddin, rnb"
Gram Parsons,The New Soft Shoe - Remastered Version,Unknown
"Jerry Vale,  Percy Faith & His Orchestra",You Don't Know Me (with Percy Faith & His Orchestra),Unknown
Dorothy Collins,Losing My Mind,"dusty, aberrant mental states, dorothy collins"
Funkadelic,What Is Soul,"funk, soul, 70s, Psychedelic Soul, psychedelic"
John Powell,"Bim Bam Smash - From ""The Bourne Supremacy""",Unknown
Joe Cocker,She Came In Through The Bathroom Window - With Outro / Live At The Fillmore East/1970,Unknown
Johnny Cash,To Beat The Devil,"cover, winter, singer songwriter, classic country, cash"
The Spinners,O-o-h Child,"motown, soul, funk, good, motown tag"
"Mon Rivera,  Willie Colón",Pena De Amor,Unknown
George Benson,Sack Of Woe,jazz fusion
Gabby Pahinui,Pua Kukui,rest in peace
C-Quint,หน้าไม่อาย,Unknown
The Ventures,Raunchy - Stereo,Unknown
"Anonymous,  Benedictine Monks of the Abbey of St. Maurice & St. Maur,  Clevaux",Ave Maria - Antiphona in Honorem Beatae Mariae Virginis,Unknown
Ritchie Valens,Let's Rock & Roll - Live Version,Unknown
"Gregorian Chant,  Benedictine Monks of the Abbey of St. Maurice & St. Maur,  Clevaux",Stabat Mater - Sequentia in Festo Septem Dolorum B.M.V.,Unknown
Little Feat,Kiss It Off,"rock, 70s, blues-rock, blues rock, little feat"
Los Teen Tops,Popotitos - Remasterizado,Unknown
Queen,Dear Friends - Remastered 2011,Unknown
Johnny Cash,25 Minutes to Go,"country, Johnny Cash, folk, classic country, live"
"Bobby Cruz,  Ricardo ""Richie"" Ray",El Diferente,Unknown
Van Morrison,Call Me Up in Dreamland - 1999 Remaster,Unknown
Sonny Stitt,Birth Of The Blues,Unknown
Townes Van Zandt,Waiting 'Round to Die - Live,Unknown
Piero Piccioni,You Persistently You 2,Unknown
The Isley Brothers,"Tell Me When You Need It Again, Pts. 1 & 2","funk, Gilles Peterson, tantotempotaste"
Waylon Jennings,A Long Time Ago,"country, outlaw country, My Country, country taggradio"
Lena Horne,Believe In Yourself,jazz
The Beach Boys,Pet Sounds - Mono,Unknown
The Beach Boys,Here Today - Mono,Unknown
Harry Nilsson,Living Without You,"baroque pop, psychedelic pop, Birthday track, id, pop"
Joe Cocker,Feelin' Alright - Live At The Fillmore East/1970,classic rock
Chicago,Poem for the People - 2002 Remaster,Unknown
Carpenters,I Kept On Loving You,"70s, pop, oldies, carpenters, USA"
Frank Sinatra,Same Old Song And Dance - 1998 Digital Remaster,Unknown
"Count Basie,  Tony Bennett,  Tristan Powell",Anything Goes - 1990 Remix / Remaster,Unknown
"Johnny ""Guitar"" Watson",The Real Deal,"jazz funk, Johnny G, classic funk tunes"
The Marshall Tucker Band,In My Own Way,"Southern Rock, Southern Blues Rock, IN MY OWN WAY, classic rock, rock"
Brenton Wood,Need You Girl,Unknown
Grateful Dead,From the Heart of Me - 2013 Remaster,Unknown
Charles Mingus,Cryin' Blues,"jazz, mingus, bass, charles mingus, Hard Bop"
Dean Martin,Heaven Can Wait - Remastered/1998,Unknown
