artists,name,genres
"Frédéric Chopin,  Arthur Rubinstein","24 Preludes, Op. 28: Prelude No. 3 in G",Unknown
Yves Montand,Mathilda,"france, french, Chanson Française, Sentimental, nostalgie"
Wedard,Diminished2011,Unknown
Robin Trower,The Shout - 2012 Remaster,Unknown
"Ucast,  Susana",To Another Day (Mix Cut) - Original Mix,Unknown
"Robin Trower,  Jack Bruce",Into Money - 2012 Remaster,Unknown
Olatunji,Ah Like It,Unknown
Tik Shiro,รักไม่ยอมเปลี่ยนแปลง,fd
Guandulito,Sabor de Engaño,Unknown
Abdel Halim Hafez,El Farah,Unknown
"Charlie Chaplin,  Buster Keaton",Chaplin and Keaton Piano and Violin Duet,Unknown
Geeta Dutt,Hari Main To Prem Diwani,Unknown
Benny Goodman,Goodbye - Instrumental,Unknown
"Denis Kenzo,  Sveta B.",Sunshine Blue,Unknown
"Aly & Fila,  Omar Sherif,  Jonathan Carvajal",A New Age (FSOE 400 Anthem) [Mix Cut] - Original Mix,Unknown
Doris Day,The Blue Bells of Broadway (Are Ringing Tonight) - 78rpm Version,Unknown
Memphis Slim,Angel Child,piano blues
Ayan Babakishiyeva,Yerine Sevemem,Unknown
Saxon,Frozen Rainbow - 2009 Remastered Version,Unknown
Sonny Boy Williamson II,Good Gravy,Unknown
Gene Autry,Tears on My Pillow,Unknown
Robin Trower,Sail On - 2012 Remaster,Unknown
"Stan Kenton & His Orchestra,  June Christy",Across The Alley From The Alamo,Unknown
Zeki Müren,Bir Yaz Yağmuru,Unknown
Memphis Minnie,He's In the Ring (Doin' the Same Old Thing),Unknown
"Richard Himber and his Orchestra,  Joey Nash",You Oughta Be In Pictures,Unknown
The Busters,Enjoy Yourself - Live 2016,Unknown
"Vincenzo Bellini,  Maria Callas,  Nicola Rossi-Lemeni,  Orchestra Del Teatro Alla Scala,  Milano,  Rolando Panerai,  Tullio Serafin","Bellini: I Puritani, Act 2: ""O rendetemi la speme ... Qui la voce sua soave mi chiamava"" (Elvira, Giorgio, Riccardo)",Unknown
Hugo Díaz,Mélodia de Arrabal,Unknown
"Max Bruch,  Eugene Ormandy,  Philadelphia Orchestra",II. Adagio,"Classical, romantic, max bruch, violin concertos, instrumental"
"STANDERWICK,  Philippe El Sisi,  Ana Criado",Magic Light (Mix Cut) - Original Mix,Unknown
Teka B,Back to 2008,Unknown
Armin van Buuren,A State Of Trance Year Mix 2016 - Where's Bob? (Mix Cut) - Outro,Unknown
Michael Cassette,Ghost In The Machine - Original Mix,"House, Progressive House, electronic, dance, finnish"
Barbara Cook,"Losing My Mind (from ""Follies"")",Unknown
El Rescate,Desencontro,Unknown
The Mahones,Drunken Lazy Bastard (2016),Unknown
"Udit Narayan,  Kavita Krishnamurthy",Saal Ke Barah Mahine,Unknown
Nomy,Stupid - LOL Edit,Unknown
"Giacomo Puccini,  Plácido Domingo,  John DeMain",Tosca: E lucevan le stelle,"fire up the quattro 2, Classical, opera, classic, instrumental"
Cristian Vasile,"Frumoasa mea, eu te ador",Unknown
"Frédéric Chopin,  Alfred Cortot","Chopin: Impromptu No. 2 in F-Sharp Major, Op. 36",Unknown
"Wolfgang Amadeus Mozart,  Arthur Rubinstein,  Alfred Wallenstein,  RCA Victor Symphony Orchestra","Piano Concerto No. 21 in C Major, K. 467: III. Allegro vivace assai","Classical, piano, concerto, austrian"
Lidia Borba,De Mi Barrio,"easy listening, tango, fip, arabesque"
Naum Petreski,Vecer ce ti dojdam,Unknown
Helen Morgan,Bill (Bonus Track),Unknown
Cuco Sánchez,La Chancla,Unknown
Guandulito,Pajaros del Agua,Unknown
"Fisherman & Hawkins,  Gal Abutbul",United (Mix Cut) - Original Mix,Unknown
Nomy,A Reason - LOL Edit,Unknown
Robin Trower,One in a Million - 2012 Remaster,Unknown
"Donald Richards,  The Lyn Murray Singers",That Great Come-and-Get-It Day,Unknown
"Giacomo Puccini,  José Carreras,  Eva Marton,  Lorin Maazel,  Vienna State Opera Orchestra",In questa reggia from Turandot,Unknown
Jone Cacciagli Con Orchestra Carlo Zeme,Caro Papà,Unknown
"Frédéric Chopin,  Alfred Cortot","Chopin: Impromptu No. 1 in A-Flat Major, Op. 29",Unknown
Nomy,Bright Blue Eyes - LOL Edit,Unknown
The Busters,Supersonic Eskalator - Live 2016,Unknown
Richard Himber and his Orchestra,Sophisticated Lady - Instrumental,Unknown
"Gaetano Donizetti,  Maria Callas,  Anna Maria Canali,  Orchestra del Maggio Musicale Fiorentino,  Tullio Serafin","Donizetti: Lucia di Lammermoor, Act 1: ""Regnava nel silenzio alta la notte e bruna"" (Lucia, Alisa)",Unknown
The Speed Freak,Gunjasex Rx - 2008,Unknown
University of North Texas Symphony Orchestra,Oh I Say,Unknown
"Didge Therapy,  Joseph B. Carringer",Breath Meditation (2008),Unknown
M. K. Thyagaraja Bhagavathar,Manamae Nee,Unknown
Tito Schipa,Marechiare,Unknown
Ennio Morricone,"Karol e l'amore - From ""Karol, the Pope, the Man"", 2006",Unknown
Sonny Boy Williamson II,Joe Louis and John Henry,Unknown
Asanee & Wasan,อยากให้อยู่ด้วยไหม,Unknown
Tito Schipa,Mandulinata A Napule,Unknown
Allen Block,I Need a Dollar,Unknown
Manuel Pomian,Amor de Cabaret,Unknown
"Various Artists,  Rodman",Married 19 Years (Jfl 2017),Unknown
Lester Young,Indiana - Take 1,Unknown
Filthy,New Year Of Death 2017,Unknown
ฟิล์ม รัฐภูมิ,Say Hi!,Unknown
Nomy,I Hate - LOL Edit,Unknown
zYnthetic,Containment Breach - 2008 Master,Unknown
The Busters,Acoustic Medley: Whiskey 'Til I Drop - Brutales - I Don't Like Your Music - Live 2016,Unknown
The Hollies,I Understand - 2011 Remaster,Unknown
Roberto Murolo,Dimme Addò Staje,Unknown
The Busters,Busterlor - Live 2016,Unknown
The Busters,Ubangi Stomp - Live 2016,Unknown
Charlie Mariano,It's You or No One - 2013 Remastered Version,Unknown
"Mel Tormé,  Artie Shaw,  The Meltones",Get out of Town,Unknown
"Ella Logan,  David Wayne",Something Sort of Grandish,Unknown
Mohammed Rafi,Tera Khilauna Toota,Unknown
Armin van Buuren,A State Of Trance (ASOT 795) - Chris Schweizer and others: 'Merry Christmas And A Happy New Year!',Unknown
"Andrés Segovia,  Johann Sebastian Bach","Cello Suite No. 3 in C Major, BWV 1009: III. Courante (arr. A. Segovia)",Unknown
Metronome All Star Band,Blue Lou - Take 2,Unknown
Wedard,Towards the Lonely Path of Winter2011,Unknown
"Richard Himber and his Orchestra,  Joey Nash",Stars Fell On Alabama,Unknown
"Fukumimi,  Augusta All Stars",10 Years After - Augusta Camp 2012,Unknown
Sonny Boy Williamson II,My Baby I've Been Your Slave,blues
Mary Lou Williams,Just One of Those Things - Alternate Take,Unknown
"Bix Beiderbecke,  The Wolverines",Oh Baby,"jazz, american, 20s"
Duke Ellington,"Day in, Day Out","jazz, swing, cool, 1950s, midtempo"
"Robin Trower,  Jack Bruce",Won't Let You Down - 2012 Remaster,Unknown
Endorphine,อย่าทำให้ฟ้าผิดหวัง,Unknown
"Jerry Laws,  Lorenzo Fuller,  Louis Sharp",The Begat,Unknown
Angelo Kelly,Asking for Trouble - 2011 Demo Version,Unknown
Youngblood Brass Band,"E La E - Live in Sempach, Switzerland, 2012",Unknown
"Sneijder,  Christina Novelli",Love Of My Control (Mix Cut) - Original Mix,Unknown
Sukrit Wisetkaew,i need somebody (อยากขอสักคน),Unknown
"Antonio Bazzini,  Jascha Heifetz,  Concert Hall Orchestra,  Unknown Artist","La ronde des lutins, Op. 25 (Live)",Unknown
Clash,นางฟ้าคนเดิม,Unknown
Robin Trower,The Ring - 2012 Remaster,Unknown
Robin Trower,Islands - 2012 Remaster,Unknown
"TandMProductionCo,  TandMMusic,  TandMTV",Frederick's Bass Tester: Lightning Bass #3,Unknown
DDZ,YOU HAVE A CALL,Unknown
Amália Rodrigues,Grão de arroz,"happy, water flows"
"John Otway,  Wild Willy Barrett",Two Little Boys - New Recording,Unknown
Francisco Canaro,Mimosa - Instrumental (Remasterizado),Unknown
