artists,name,genres
Los Acosta,Separados,separados
Madonna,American Pie,"pop, cover, Madonna, female vocalists, dance"
Intro,Come Inside,"quiet storm, sexy rnb, carmelsoulsista, well h"
Coheed and Cambria,Delirium Trigger,"Progressive rock, rock, emo, coheed and cambria, alternative"
Bebe & Cece Winans,Jingle Bells,"christmas, Christmas tag, soul, gospel, rhythm and blues"
Diamond Head,Am I Evil?,"heavy metal, NWOBHM, metal, New Wave of British Heavy Metal, Brutal Legend"
Beastie Boys,Super Disco Breakin' - Remastered,"90s, 1998"
Mitch Hedberg,Candy Bars,"comedy, stand-up, stand-up comedy, mitch hedberg, humor"
Billie Holiday,God Bless The Child - 1956 Version,Unknown
The Floaters,Float On,"soul, 70s, Old School soul, Float On, oldies"
Iron Maiden,Can I Play with Madness - 2015 Remaster,classic tracks
Genesis,"Tonight, Tonight, Tonight - 2007 Remaster","80s, pop rock"
"Jahloul Bouchikhi,  N. Reyes,  T. Baliardo,  Gipsy Kings",A Mi Manera,Unknown
"Maze,  Frankie Beverly",The Morning After,"smooth, makeout, tantotempotaste, Maze, rhythum and blues tag"
"Louis Prima,  Keely Smith,  Sam Butera & The Witnesses",(Nothing's Too Good) For My Baby - Remastered,Unknown
"Johann Sebastian Bach,  Bible,  Christian Friedrich Henrici,  Christoph Prégardien,  Klaus Mertens,  Monika Frimmer,  Veronika Winter,  Lena Susanne Norin,  Wilfried Jochens,  Hans-Georg Wimmer,  Rheinische Kantorei,  Kleine Konzert,  Das,  Hermann Max","St. Matthew Passion, BWV 244: Pt. II: Aria. Erbarme dich, mien Gott (Alto)",Unknown
The Rockets,Oh Well,"rock, classic rock, 70s, 80s, cover"
Metallica,Frantic,"metal, thrash metal, heavy metal, metallica, hard rock"
"Daniel Santos,  La Sonora Matancera",El Juego De La Vida,"Daniel Santos, el corneta"
L7,Everglade,"Grunge, alternative, rock, female vocalists, alternative metal"
"Johann Sebastian Bach,  Petri Alanko,  Jukka Rautasalo","Flute Sonata in C Major, BWV 1033: II. Allegro","baroque, Classical Harp, harpsical"
Dire Straits,Water of Love,"classic rock, rock, dire straits, 80s, guitar"
Will To Power,Dreamin',"freestyle, pop, 80s, dance, Dreamin"
Grupo Libra,Tú No Sabes,Unknown
Blondie,Hanging On The Telephone,"new wave, rock, 80s, female vocalists, pop"
Marc Anthony,When I Dream at Night,"latin, pop, Love, zouk, Espanol"
"Chuito El De Bayamon,  Johnny El Bravo",Yo Me Tomo El Ron,Unknown
"""Alexander ONeal""",My Gift To You,Unknown
Enigma,The Roundabout,"new age, ambient, chillout, enigma, electronic"
The Knife,Pass This On,"electronic, synthpop, swedish, electronica, electro"
LA INDIA,Sedúceme - Salsa Version,Unknown
Big B,Hooligan,"Big B -  Hooligan, Hip-Hop, Hooligan, rap, white rap"
George Strait,Merry Christmas Strait To You,"christmas, xmas, country christmas, new traditionalist, finnagen"
The Boo Radleys,There She Goes,"cover, pop, Soundtrack, britpop, las cover"
Mother Love Bone,This Is Shangrila,"Grunge, alternative rock, rock, seattle, 80s"
Grupo Tentacion,La Huerfanita,Unknown
"Pietro Mascagni,  National Philharmonic Orchestra,  Gianandrea Gavazzeni,  Giuseppe Patanè",Cavalleria rusticana: Intermezzo,"Classical, opera, instrumental, beautiful, italian"
"Dickey Betts,  Allman Brothers Band",Ramblin' Man,"folk, loved"
50 Cent,Lifes On The Line,"MySpotigramBot, 50 Cent, -1001819731063, Hip-Hop, hip hop"
The Ray Conniff Singers,Christmas Bride,"christmas, easy listening, Mellow, oldies, weihnacht"
"The Blues Brothers,  Joe Gastwirt",Rubber Biscuit - Live,Unknown
The Smashing Pumpkins,Spaceboy - Remastered,Unknown
"Non Phixion,  ILL Bill",Rock Stars,"Hip-Hop, rap, dj premier, underground hip-hop, hip hop"
Jamiroquai,Everyday - Remastered,Unknown
Ronnie Milsap,My Heart,"country, male vocalists, love songs, classic country, my favorite"
Carpenters,Ave Maria,"christmas, Tinsel, Ave Maria - The Carpenters, xmas, easy listening"
"""Kid N Play""",Rollin' With Kid 'N Play,Unknown
Anthony Hamilton,I'm A Mess,"soul, rnb, anthony-hamilton, Neo-Soul, r and b"
Switch,There'll Never Be,"Old School Slow Jams, Old School soul, afro armpit funk, soul, 70s"
Molly Hatchet,Gator Country,"Southern Rock, classic rock, rock, hard rock, blues rock"
Waylon Jennings,I've Always Been Crazy,"country, outlaw country, Waylon Jennings, Ive always been crazy, classic- country"
Aerosmith,Seasons of Wither,"hard rock, classic rock, rock, aerosmith, 70s"
"Fritz Kreisler,  Julia Krasko,  Olga Kondratieva",Liebeslied,"Classical, instrumental, piano, Fritz Kreisler"
Alannah Myles,Love Is,"rock, female vocalists, 90s, pop, Canadian"
Hombres G,Será esta noche,Unknown
UGK,Let Me See It,"rap, classic, groove, smooth, Dirty South"
The Stylistics,Ebony Eyes,"the stylistics, soul, sweet love song, RB, RNB SOUL"
Melanie,Beautiful People,"folk, female vocalists, 60s, melanie, pop"
Lost Boyz,Me And My Crazy World,"Hip-Hop, hip hop, stream, rap, hiphop"
Bob Marley & The Wailers,Chant Down Babylon,"reggae, roots reggae, Bob Marley, roots, jamaican"
Urge Overkill,Sister Havana,"90s, rock, alternative rock, alternative, power pop"
Beanie Sigel,The Truth,"Hip-Hop, rap, produced by kanye west, hip hop, 90s"
Nightmares On Wax,Mission Venice,"electronic, downtempo, chillout, trip-hop, trip hop"
Al Jarreau,Boogie Down,"jazz, male vocalists, al jarreau, funk, male vocalist"
Óscar Medina,Jesus Seco Mis Lagrimas,Unknown
Alberto Cortez,Cuando un amigo se va,"Cantautores, alberto cortez, especiales, xolo69, DR  P GOMEZ"
Amy Grant,Emmanuel,"christmas, christian, holiday, Amygrant-Emmanuel, 80s"
"Camille Saint-Saëns,  Academy Of London,  Richard Stamp",The Carnival of the Animals: The Swan,Unknown
