track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
15ADURMdkO25JGD5mIcodM,Lucille,Kenny Rogers,62,Kenny Rogers,60,220866,False,1976-10-18,0.646,0.362,5,-11.954,1,0.0312,0.724,0.0,0.134,0.387,142.46,"country, classic country, kenny rogers, 70s, oldies"
5lllSpYR5kRirQk8g2rIwa,Lady,Kenny Rogers,0,Love Songs,0,231040,False,1997-01-01,0.487,0.232,2,-12.486,0,0.0291,0.747,7.2e-06,0.115,0.249,140.173,"country, Love, LADY, kenny rogers, romantic"
3MoCJ7TOCMlFdyeBEHt24q,Ruby Don't Take Your Love To Town,Kenny Rogers,54,Ten Years Of Gold,55,173933,False,1977-10-23,0.672,0.5,0,-18.39,1,0.0445,0.011,0.012,0.287,0.962,105.357,"country, kenny rogers, classic country, oldies, male vocalists"
5ggOAMsJCAYDHnyoqJ0xAD,She Believes In Me,Kenny Rogers,63,The Gambler,62,258720,False,1978-11-20,0.32,0.413,10,-12.472,1,0.0314,0.484,4.97e-06,0.346,0.313,142.765,"country, romantic, classic country, 70s, kenny rogers"
6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,Kenny Rogers,66,Kenny,63,218133,False,1979-10-10,0.264,0.307,7,-12.36,1,0.0341,0.662,0.0,0.101,0.153,172.546,"country, kenny rogers, romantic, Ballad, 70s"
297aCpOFCVfdYPOEel7Vd1,BRAVI A CADERE - I polmoni,Marracash,0,Persona,0,200214,True,2020-03-05,0.608,0.693,5,-5.676,0,0.103,0.163,0.0,0.104,0.276,95.005,"MySpotigramBot, -1001333387036"
2qsk7VimIbE5MZVebczKk4,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,0,Persona,0,223045,True,2020-03-05,0.656,0.661,9,-5.888,1,0.0602,0.0686,0.0,0.125,0.509,140.956,Unknown
1dk8CMVix3zAWn9EAVKrAV,CRUDELIA - I nervi,Marracash,0,Persona,0,230922,True,2020-03-05,0.547,0.554,7,-7.563,1,0.102,0.149,0.0,0.344,0.0702,82.178,"MySpotigramBot, -1001333387036, -1001190477876, -1001724368853"
1Y7oa9QTii30Bbie7hdXyd,MADAME - L'anima (feat. Madame),Marracash,0,Persona,0,221631,True,2020-03-05,0.747,0.651,0,-8.33,1,0.0304,0.399,7.21e-06,0.0907,0.145,107.99,"MySpotigramBot, -1001747063611, -1001819731063"
4DjiLhYHb6xeRR6UD2DY94,Yeah Ho!,Dollypran,0,Yeah Ho!,22,362559,False,2020-01-27,0.715,0.557,1,-7.789,1,0.5,0.263,0.0,0.103,0.241,125.687,Unknown
3TjwG7Kjux2C1XQU9igPbm,Take me Take out,VK Blanka,7,Take me Take out,8,212614,False,2017-04-11,0.515,0.776,2,-6.248,1,0.0504,5.43e-05,0.00056,0.0656,0.619,164.133,Unknown
2q0VexHJirnUPnEOhr2DxK,Biking,Frank Ocean,68,Biking,68,277520,True,2017-04-10,0.673,0.463,2,-7.247,1,0.191,0.681,4.9e-06,0.0907,0.268,147.981,"rnb, Hip-Hop, 2017, Biking, Frank Ocean"
5A4CPPuAAuQduIvYDPvfJn,Etsi Ine I Fasi,Helena Paparizou,14,Etsi Ine I Fasi,17,202846,False,2020-02-24,0.518,0.674,2,-8.368,0,0.0394,0.0109,0.0,0.18,0.376,155.798,Unknown
3p96tiJXi50sceDPSQiR22,Hier,Miss Montreal,25,Hier,28,205118,False,2020-02-14,0.469,0.742,0,-5.743,1,0.0323,0.14,0.0,0.151,0.486,77.065,Unknown
2Yn22Mz9HuItcnOAtanVee,Better Days,Hedley,0,Better Days,0,223786,True,2017-08-18,0.612,0.738,0,-4.373,1,0.066,0.366,0.0,0.0542,0.65,96.012,my scribbled
5WqWhg1DI6aWGLHOG8XLZP,Y es que sucede así,Arena Hash,0,Ah Ah Ah,0,224586,False,1990,0.673,0.717,11,-11.39,0,0.0578,0.142,1.2e-06,0.0638,0.83,149.64,"pop rock, wave pop, pop alternativo, wave pop peruano"
6Asbetcr8zwCRCBJVjiPmd,All Stars Night Ends - Hero Ver,Hirotoshi Furuya,0,All Stars Night Ends (Hero Ver),0,196080,False,2020-04-15,0.23,0.694,7,-7.554,1,0.0404,0.000872,0.843,0.094,0.0872,138.082,Unknown
5Hhw7VqEuRBwKcuiAEIuCf,Intimate,KOMAR,0,Intimate,0,193817,True,2020-04-20,0.748,0.443,11,-12.634,1,0.06,0.221,0.0,0.0948,0.691,142.146,Unknown
0k2EQqaw0xCikHNetJmrwz,Done Witchu,Juvy,0,Done Witchu,0,142823,True,2020-04-20,0.547,0.253,6,-14.082,0,0.343,0.768,0.0,0.13,0.3,80.047,Unknown
48SEOpb0BrAesLu0TPr12D,LucifersGotMe,PIERXE,0,LucifersGotMe,0,155820,False,2020-03-20,0.917,0.353,7,-8.027,1,0.267,0.367,1.48e-05,0.115,0.706,112.007,Unknown
3wk7AbPKMLmMbuApTqE6pL,Din Krop,Arian Romal,0,Dine Vinger,0,197198,False,2020-04-06,0.539,0.553,5,-8.553,0,0.177,0.293,0.0,0.0963,0.283,190.043,Unknown
0bEOTn0rcB89tlJUudRBS4,Kreski,Smolasty,22,Kreski,20,154500,True,2020-03-18,0.653,0.778,4,-6.636,0,0.132,0.326,0.0,0.16,0.713,160.046,Unknown
