artista,nombre_cancion,genres
jason derulo,goodbye (feat. nicki minaj & willy william),"electronic, pop, dance, nice beat"
lele pons,celoso,"Reggaeton, latina, celoso, pisou na anitta, Lele Pons"
5 seconds of summer,youngblood,"pop, rock, pop rock, dance, 2010s"
eminem,killshot,"rap, Hip-Hop, Diss, Eminem, MySpotigramBot"
neffex,hope,Unknown
travis scott,yosemite,"trap, cloud rap, 2018, gunna, pop rap"
leroy sanchez,in my blood,Unknown
billie eilish,you should see me in a crown,"pop, electropop, indie, alternative, electronic"
charli xcx,1999,"pop, electronic, electropop, dance, synthpop"
alan walker,diamond heart,"electronic, electropop, pop, dance, dance-pop"
ella mai,trip,"rnb, Hip-Hop, soul, british, urban"
brytiago,asesina - remix,"Daddy Yankee, darell, anuel aa, ozuna"
shinedown,darkside,"rock, alternative rock, hard rock, dance, arena rock"
lil uzi vert,new patek,"chill, vibes, trap, pop rap, bars"
daddy yankee,adictiva,Unknown
lil wayne,mona lisa (feat. kendrick lamar),"MySpotigramBot, hip hop, kendrick lamar, -1001819731063, rap"
anne-marie,2002,"pop, 2010s, 2018, british, female vocalists"
yg,"big bank (feat. 2 chainz, big sean, nicki minaj)","trap, nicki minaj, YG, big sean, 2 chainz"
martin garrix,high on life (feat. bonn),"Progressive House, House, electro house, EDM, bonn"
brytiago,asesina,Unknown
eminem,venom - music from the motion picture,"rap, Soundtrack, hip hop, 2010s, movie"
rudimental,"these days (feat. jess glynne, macklemore & dan caplen)","pop, dance, House, 2010s, Macklemore"
khalid,otw,"rnb, pop, trap, pop rap, ty dolla sign"
nicky jam,x - remix,"remix, moombahton, j balvin, Maluma, ozuna"
james arthur,empty space,"british, pop, chill, folk pop, Ballad"
david guetta,flames,"pop, sia, electronica, french, dance"
reik,me niego,"Soundtrack, tenias que ser tu"
lay,namanana,Unknown
j balvin,no es justo,"spanish, latin, Reggaeton, Colombia, latin pop"
migos,walk it talk it,"Hip-Hop, rap, trap, MySpotigramBot, Gangsta Rap"
david guetta,don't leave me alone (feat. anne-marie),"dance, electronic, pop, fav, anne-marie"
khalid,saturday nights,"rnb, chill, Hip-Hop, soul, alternative"
lil wayne,uproar,"MySpotigramBot, rap, -1001819731063, hip hop, bounce"
travis scott,butterfly effect,"trap, 2017, rap, cloud rap, Hip-Hop"
trippie redd,1400 / 999 freestyle,"MySpotigramBot, Hip-Hop, Awesome, numbers, Favorite"
shawn mendes,lost in japan - remix,"pop, dance, r and b, male vocalist, 2010s"
leafs,swish,Unknown
drake,don’t matter to me (with michael jackson),"rnb, Hip-Hop, rap, michael jackson, Drake"
eminem,the ringer,"rap, Hip-Hop, hip hop, Eminem, pop"
piso 21,puntos suspensivos,Unknown
bad bunny,estamos bien,"Hip-Hop, rap, latin, Reggaeton, rnb"
bryant myers,tanta falta,Unknown
post malone,candy paint,"trap, Hip-Hop, rap, 2017, MySpotigramBot"
billie eilish,bitches broken hearts,"indie, indie pop, rnb, 2010s, Billie Eilish"
paulo londra,chica paranormal,Unknown
anitta,veneno,"sexy, Reggaeton, pop, latin, FLOP"
the chainsmokers,this feeling (feat. kelsea ballerini),"electronic, pop, dance, trap, kelsea ballerini"
sofia reyes,"1, 2, 3 (feat. jason derulo & de la ghetto)","latin pop, Jason Derulo"
lalo ebratt,mocca - remix,"chillout, chill, latin, Reggaeton"
the weeknd,call out my name,"rnb, soul, MySpotigramBot, Canadian, 2018"
kelsea ballerini,legends,"country, pop, american, country pop, Ballad"
poppy,x,"alternative metal, heavy metal, rock, sunshine pop, Nu Metal"
quavo,w o r k i n m e,"Hip-Hop, hip hop, rap, trap, fallon"
quavo,workin me,quavo
avril lavigne,head above water,"rock, pop rock, pop, gospel, christian"
the chainsmokers,beach house,"electronic, pop, dance, dance-pop, trap"
calum scott,you are the reason,"pop, british, indie, soul, download"
ozuna,me dijeron,Unknown
john mayer,new light,"indie, pop, pop rock, 2018, chill"
yellow claw,attention,Unknown
mac miller,self care,"hip hop, rap, pop rap, trap, alternative rnb"
drake,mob ties,"MySpotigramBot, Hip-Hop, rap, Drake, Canadian"
karol g,mi cama - remix,"nicky jam, j balvin"
young thug,sin (feat. jaden smith),"Hip-Hop, hip hop, rap, Young Thug, jaden smith"
takeoff,casper,"chill, 10s, cloud rap, wavy, takeoff"
joji,slow dancing in the dark,"alternative rnb, MySpotigramBot, joji, indie, soul"
danny ocean,epa wei,"pop, Reggaeton, Ariane"
dreamers,black & white,"pop, rock, indie rock"
future,hard work pays off,"pop, Awesome, future, Favorite, pop rap"
lil baby,close friends (lil baby & gunna),"MySpotigramBot, -1001854528204"
sigala,just got paid,"dance, funk, electronic, electronica, rap"
morat,cuando nadie ve,Unknown
calum scott,dancing on my own,"cover, british, pop, covers, 2016"
kendrick lamar,all the stars (with sza),"rnb, Soundtrack, Hip-Hop, pop, rap"
getter,solo,"dubstep, trap"
why don't we,8 letters,Unknown
madison beer,hurts like hell (feat. offset),"2010s, intricate melodic phrasing, melodic songwriting, minor key tonality, electronica influences"
tobi lou,billy,Unknown
ariana grande,sweetener,"rnb, trap, pop, Hip-Hop, soul"
j balvin,reggaeton,"reggae, Reggaeton, 2018 single"
two feet,you say,Unknown
king princess,1950,"indie pop, electropop, indie, pop, alt-pop"
cosculluela,madura (feat. bad bunny),Unknown
metro boomin,10 freaky girls (with 21 savage),"trap, 21 savage, MySpotigramBot, hip hop, rap"
twenty one pilots,my blood,"synthpop, indietronica, alternative dance, alternative, pop rap"
lil dicky,freaky friday (feat. chris brown),"rap, Chris Brown, rnb, shit, 2010s"
eminem,not alike (feat. royce da 5'9),"Hip-Hop, rap, Eminem, royce da 59, Kamikaze"
tyga,dip (feat. nicki minaj),"rap, nicki minaj, tyga, Hip-Hop, hip hop"
clean bandit,baby (feat. marina and the diamonds & luis fonsi),"latin, electronic, pop, dance, indie"
post malone,ball for me (feat. nicki minaj),"nicki minaj, Hip-Hop, rap, trap, 2010s"
alice in chains,all i am,"Grunge, alternative rock, hard rock, alternative metal, heavy metal"
shawn mendes,lost in japan,"pop, Canadian, rnb, 2018, electropop"
