artists,name,genres
Dave Wong,忘了你忘了我,Unknown
Manny Manuel,Si Una Vez,Unknown
Foo Fighters,Up In Arms,"rock, alternative rock, Grunge, alternative, foo fighters"
Mitch Hedberg,Sandwiches,"comedy, stand-up, stand-up comedy, mitch hedberg, funny"
Erykah Badu,Certainly,"soul, jazz, Neo-Soul, female vocalists, Erykah Badu"
Fleetwood Mac,Everywhere - 2018 Remaster,Unknown
"""Howlin Wolf""",Moanin' At Midnight,Unknown
Reynaldo Armas,A Usted,"llanera, venezuela, colombiana, arpa, clasica1"
Story Of The Year,Sidewalks,"emo, alternative, rock, story of the year, alternative rock"
Billie Holiday,You're My Thrill,"jazz, female vocalists, oldies, Watchmen, 40s Jazz"
"Wolfgang Amadeus Mozart,  Moura Lympany","Mozart: Piano Sonata No. 11 in A Major, K. 331, ""Alla Turca"": III. Rondo alla turca",Unknown
Roberto Carlos,Namoradinha de um Amigo Meu - Versão remasterizada,"rock, corno"
Rage Against The Machine,Maria,"rock, alternative, alternative rock, rapcore, political"
"""Howlin Wolf""",How Many More Years,Unknown
Chevelle,Panic Prone,"rock, chevelle, alternative rock, alternative metal, alternative"
The Shins,Kissing the Lipless,"indie, indie rock, alternative, indie pop, the shins"
Banda El Recodo,Una Pura Y Dos Con Sal,BANDA
Count Basie,Splanky,"jazz, swing, Big Band, 50s, classic jazz"
Pandora,La Usurpadora,"pandora, Soundtrack, LA USURPADORA, a usurpadora, female"
"Samuel E. Wright,  Ensemble - The Lion King","They Live in You - From ""The Lion King""/Original Broadway Cast Recording",Unknown
"Frédéric Chopin,  Idil Biret","Waltz in B Minor, Op. 69 No. 2: Waltz No. 10 in B Minor, Op. 69, No. 2",Unknown
Gene Autry,Up On The House Top,"christmas, country christmas, xmas, Christmas Songs, Yule"
Sun Kil Moon,Carry Me Ohio,"folk, singer-songwriter, indie, Alt-country, beautiful"
Fred Astaire,Puttin' on the Ritz,"swing, jazz, 40s, oldies, male vocalists"
Relient K,College Kids,"christian rock, rock, pop punk, college, christian"
"Andre Nickatina,  San Quinn",Ayo For Yayo (feat. San Quinn),Unknown
Red Hot Chili Peppers,Fat Dance - 2006 Remaster,Unknown
"Anonymous,  John Alldis Choir,  London Symphony Orchestra,  Sir Colin Davis",Deck The Halls With Boughs Of Holly,Unknown
Trey Songz,Successful (with Drake),Unknown
Elis Regina,Águas De Marco,"female vocalists, bossa, brasil, jazz, Bossa Nova"
Denis Solee,Winter Wonderland,"christmas, Yule"
The Living End,Prisoner of Society,"punk rock, punk, rock, australian, rockabilly"
Motörhead,Iron Fist,"heavy metal, hard rock, metal, Motorhead, classic rock"
Cuco Sánchez,Fallaste Corazón / Del Cielo Cayó una Rosa,Unknown
Ying Yang Twins,Whistle While You Twurk (ColliPark Mix),Unknown
