track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
4K8rFZzK9nDvCo7CqKjLP0,Junebug,Robert Francis,39,Before Nightfall,40,238106,False,2009-10-09,0.388,0.656,4,-8.27,1,0.0347,0.0296,0.214,0.139,0.428,133.828,"alternative, rock, indie, singer-songwriter, 00s"
1v7LDReGjJO5xXtQQkNY6B,Fucked Up Summer (Remix) [feat. Jonas Hahn],Lukr,12,Fucked Up Summer (Remix) [feat. Jonas Hahn],12,231286,True,2016-10-07,0.606,0.657,1,-3.481,1,0.0592,0.355,0.0,0.163,0.184,135.76,Unknown
2uZjUOdXPbIS8Z2coVRQZC,Avé,Panama Bende,13,Avé,16,366131,True,2016-04-06,0.523,0.484,1,-8.036,1,0.413,0.585,0.0,0.0958,0.304,67.164,"french, rap, french rap"
0diJRmjpNIJkXs1dypW1LJ,Tanz mit mir,Faun,0,Von den Elben,0,182133,False,2013-01-01,0.683,0.922,0,-4.64,1,0.0262,0.142,0.0,0.041,0.964,95.955,"german, folk, medieval, Mittelalter, folk metal"
6Tn3ly4ASvSwIuD2JkHmqk,Jerry Maguire,Aristoteles,0,Jerry Maguire,0,196243,True,2016-09-23,0.454,0.731,9,-6.07,1,0.357,0.203,0.0,0.0891,0.441,174.598,Unknown
08uZEOdDp1Q92E3b7DDnE7,Pizza,Miss Ko,20,皇后區的皇后,21,242680,True,2016-12-22,0.674,0.758,2,-6.598,1,0.238,0.0879,0.0,0.34,0.42,168.106,Unknown
0tlUISBL0oBFyWN8TkpfJU,老厝邊,台客電力公司,2,老厝邊,2,222403,False,2015-12-11,0.773,0.779,2,-10.162,1,0.0445,0.00338,0.000601,0.0897,0.807,128.025,Unknown
6HgHmb2r8slreOmNqqPRl7,100分(專輯版),Crispy脆樂團,0,後來我們,0,188293,False,2013-03-27,0.732,0.417,10,-8.515,1,0.0391,0.428,0.0,0.179,0.612,119.968,Unknown
7JvHDVEwagpaRbYGo0oO4E,你不懂我,Miss Ko,10,皇后區的皇后,12,211093,True,2016-12-22,0.921,0.683,11,-7.398,0,0.0719,0.281,0.0,0.09,0.761,99.994,Unknown
2ZnNaxW8jsrCUcjf60aWR2,Queen Elizabeth - Recorded at Spotify Studios NYC,Cheat Codes,16,Spotify Singles,17,205552,False,2016-11-24,0.453,0.343,7,-8.369,1,0.0352,0.567,0.0,0.347,0.74,96.935,Unknown
4kD5Sf5Ooecoa8mtptlqcE,男兒漂泊的心情,Tsai Chia Lin,1,為愛車拼,2,247200,False,2012-08-17,0.582,0.511,7,-7.784,1,0.0287,0.372,0.0,0.336,0.494,100.026,Unknown
0HyTQ4B9S8qJQ1bG1E6slY,Apollo - Dr Phunk Extended Remix,Hardwell,2,Apollo (Dr Phunk Remix),4,245556,False,2016-12-15,0.487,0.937,2,-4.232,1,0.0545,0.003,0.000115,0.452,0.185,149.997,Unknown
7u0fCylxpmnULrhdkNI9VP,Giderdi Hoşuma,Yaşlı Amca,26,Giderdi Hoşuma,26,220530,False,2016-10-21,0.682,0.693,0,-4.657,0,0.0282,0.257,0.0,0.23,0.791,125.008,Unknown
4De4N7SEVhPcRKy9Ha3yGn,Ve Ben,Yaşlı Amca,25,Ve Ben,26,245194,False,2016-11-30,0.399,0.556,8,-6.202,0,0.0407,0.599,2.38e-06,0.145,0.278,175.944,Unknown
7MDodkSe7ZQM45Vj9vOMUt,This Is My World (feat. Austin Jenckes),Esterly,0,This Is My World (feat. Austin Jenckes),0,189767,False,2016-11-18,0.602,0.625,8,-5.164,1,0.0394,0.0667,4.72e-06,0.112,0.389,86.039,Unknown
2S11NkyTTe1bpPC6EuOgFJ,Gerizekalısın.,Zena,0,Gerizekalısın.,2,187872,False,2016-09-26,0.851,0.495,7,-15.375,1,0.0591,0.633,0.0,0.159,0.939,148.012,Unknown
4rnU6Kcnhz9HK1oNDpQIry,Habib Galbi (feat. Pitbull) [Mr. Worldwide Remix],A-WA,0,Habib Galbi (feat. Pitbull) [Mr. Worldwide Remix],0,196786,False,2016-12-02,0.672,0.906,4,-5.314,0,0.117,0.00063,0.00525,0.725,0.746,100.043,Unknown
0EA3NCw0lGuwW0Q8kE3TuA,Deligül,Cansu Kurtcu,22,Deligül,18,234640,False,2016-12-02,0.599,0.886,0,-4.095,0,0.0935,0.323,0.000159,0.11,0.722,87.982,Unknown
1gUmQyPL9TMcDMeTK9SVCm,Anyone Who Knows What Love Is (Will Understand) [feat. Chaps Choir],Samantha Whates,15,Anyone Who Knows What Love Is (Will Understand) [feat. Chaps Choir],17,237873,False,2016-04-30,0.33,0.315,2,-9.098,1,0.0283,0.885,0.0183,0.0559,0.173,172.245,Unknown
5EfJGWuhGsdTJaNyIarvCi,,,0,,0,0,False,0000,0.303,0.0926,5,-18.854,0,0.0401,0.987,0.926,0.105,0.323,167.974,Unknown
3qhAMZGhdT3JCQkVAGJ0RL,Gabriel's Trumpet,Marcelo Zarvos,24,Fences (Music from the Motion Picture),22,196280,False,2016-12-16,0.148,0.0439,0,-23.335,0,0.0324,0.986,0.906,0.0744,0.052,72.942,Unknown
5a4zb137Jed3ozgl33HibD,Neçe,Dodan,13,Şabûn,17,278778,False,2010-05-13,0.835,0.5,2,-6.689,1,0.0855,0.271,0.0,0.0498,0.818,110.025,Unknown
0vKRYhkfSMaYhKAGGDuwfJ,Ay Ben Ölüyorum,Eski Bando,15,İstanbul Beyrut Paris,18,160573,False,2016-11-18,0.531,0.384,11,-7.861,0,0.0391,0.808,0.0,0.182,0.447,159.759,Unknown
0jCwCAIiOXkJsOFnYY6Mjz,Niyə Belə Uzundur Bu Yollar,No Land,0,Aramızda,0,229380,False,2016-10-10,0.298,0.446,4,-9.581,0,0.0314,0.616,0.000131,0.21,0.0836,112.41,Unknown
3Qk6YR0ZsjM0judvuDEbnl,Nuclear Fusion,King Gizzard & The Lizard Wizard,0,Nuclear Fusion,0,255453,False,2016-12-22,0.418,0.765,11,-6.218,1,0.0429,0.356,0.718,0.158,0.603,85.403,"psychedelic, Psychedelic Rock, microtonal, pop, rock"
0sHnZNTPbyAFqoN67JbGo5,Just Say (feat. Tinashe),KDA,39,Just Say (feat. Tinashe),40,232089,False,2016-11-04,0.72,0.734,9,-6.492,0,0.0427,0.0648,0.101,0.0591,0.794,126.99,"electronic, pop, dance, farofa, farofa conceitual"
2ryB33GnL3q4wCsD4q0YSx,Fevgo,Orfeas Peridis,32,Ah Psihi Mou Fantasmeni,34,231400,False,1992-12-13,0.621,0.318,9,-12.935,1,0.0283,0.701,0.0,0.241,0.601,97.925,"Greek, singer-songwriter, Fevgo, folk, male vocalists"
4J40h1He466xC8PNnGvFAY,Feeling Good - Live,George Michael,40,Symphonica (Deluxe Version),41,195957,False,2014-01-01,0.418,0.826,4,-8.335,0,0.131,0.103,0.0,0.954,0.393,118.536,"cover, jazz"
3Ajx4TXGApoFdRAJlITfE4,Chip Pan,The Everly Pregnant Brothers,0,Chip Pan,0,162000,False,2016-12-16,0.604,0.539,4,-13.105,1,0.0679,0.277,0.0028,0.0683,0.914,177.12,Unknown
471sXvN5C5vfMSBdKrGpo7,Seagulls! (Stop It Now),Bad Lip Reading,52,Seagulls! (Stop It Now),54,192484,False,2017-01-01,0.936,0.687,10,-5.797,0,0.12,0.0536,3.05e-05,0.0851,0.746,119.995,"comedy, animals, Star Wars, seagulls, 7th grade"
43ESX1DdwFY22SnVIxaD25,Ghost,Harper,8,Ghost,12,197227,False,2016-12-23,0.323,0.582,7,-6.062,1,0.0877,0.0388,0.0,0.185,0.128,202.457,Unknown
4hFpp0XNbwsnPtJJ9EWwt9,2016 Wrap Up,Rapman,6,2016 Wrap Up,9,301296,True,2016-12-25,0.678,0.736,7,-4.184,1,0.495,0.113,0.0,0.0471,0.583,97.619,Unknown
6iPow0rMbIbJH8QRk2dQjb,Old Lang Syne - Celebrations,Tony Evans and His Orchestra,7,Old Lang Syne,8,76123,False,2015-10-23,0.333,0.365,5,-5.952,1,0.0289,0.847,0.0,0.097,0.492,100.652,Unknown
5gC2aJwuSzGe3IJVlk9r2O,Final Credits,Midland,36,Final Credits,52,439994,False,2017-02-10,0.823,0.814,6,-8.723,1,0.0391,0.0146,0.359,0.138,0.488,133.01,"House, Disco, electronic, deep house, DIsco House"
6La6oQO7rFQ91El8lCfWdv,Change,Dan Kye,0,"Joy, Ease, Lightness",0,275620,False,2016-12-09,0.916,0.938,9,-9.416,0,0.0889,0.0263,0.153,0.0279,0.921,120.01,Unknown
491U3N7HKGSL9cpUSiXFT4,Down Low (feat. Elesia Iimura),XL,0,Down Low (feat. Elesia Iimura),0,250800,True,2016-11-01,0.536,0.723,2,-6.471,1,0.233,0.188,0.0,0.119,0.364,132.571,Unknown
2P0B6PL2qLIOuIzjsjlZg4,You're so Cool,Mohave,19,You're so Cool,19,246357,False,2016-12-09,0.478,0.433,2,-12.667,1,0.0434,0.336,0.723,0.214,0.236,89.367,Unknown
