artists,name,genres
"Francisco Canaro,  Ernesto Fama",Volvió la Princesita - Remasterizado,Unknown
M. S. Subbulakshmi,Sukumara,Unknown
Эрих Мария Ремарк,Часть 193.3 & Часть 194.1 - Триумфальная арка,Unknown
Tadeusz Dolega Mostowicz,Chapter 18.15 - Kariera Nikodema Dyzmy,Unknown
"Jack Teagarden,  Red Nichols & His Five Pennies",On the Alamo,jazz
Эрих Мария Ремарк,Часть 93.3 - Триумфальная арка,Unknown
"Franz Liszt,  William Kapell","Mephisto Waltz No. 1, S. 514","Classical, piano, romantic, waltz"
"Frédéric Chopin,  William Kapell","Mazurka, Op.33, No. 3 in C",Unknown
"Modest Mussorgsky,  William Kapell",Pictures at an Exhibition: Promenade IV,Unknown
"Parul Ghosh,  Chitalkar",Bhool Jana Chahti Hoon - Duet,Unknown
Эрих Мария Ремарк,Часть 73.3 & Часть 74.1 - Триумфальная арка,Unknown
"Frédéric Chopin,  William Kapell","Mazurka, Op.7, No. 5 in C",Unknown
Snehprabha Pradhan,Main Ban Ke Jogan Aai,Unknown
"Amirbai Karnataki,  Bulo C.Rani",Asha Ko Hansaye,Unknown
"Édouard Lalo,  Pierre Monteux,  Yehudi Menuhin","Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: I. Allegro non troppo",Unknown
"Hector Berlioz,  Pierre Monteux","Symphonie fantastique, Op. 14, H 48: IV. Marche au supplice",Unknown
"Anton Bruckner,  Bruno Walter,  Columbia Symphony Orchestra","Symphony No. 4 in E-Flat Major, WAB 104 ""Romantic"": I. Bewegt, nicht zu schnell",Unknown
"Hameeda Bano,  Mukesh","Ja Parwane Ja (From ""Rajputani"")",Unknown
Manfried Rössner,Kapitel 20 - Karl III. Und Anna von Österreich,Unknown
"Gustav Mahler,  Bruno Walter,  Columbia Symphony Orchestra","Symphony No. 1 in D Major ""Titan"": I. Langsam. Schleppend",Unknown
Suraiya,Ummeedon Ka Tara Kismat Se,Unknown
Hemant Kumar,Tomay Gaan Shonabo,Unknown
"Frédéric Chopin,  Eugene Ormandy,  Philadelphia Orchestra","Piano Concerto No. 2 in F Minor, Op. 21: III. Allegro vivace","Classical, piano, romantic, polish"
Эрих Мария Ремарк,Часть 50.2 - Триумфальная арка,Unknown
"H Khan Mastana,  Zohrabai Ambalawali",Jago Jago Sabdhan Ho,Unknown
"Richard Wagner,  Columbia Symphony Orchestra,  Bruno Walter","Tannhäuser, WWV 70: Overture","Classical, opera, instrumental, romantic, romantik"
"Johannes Brahms,  Jascha Heifetz,  Fritz Reiner,  Chicago Symphony Orchestra","Violin Concerto in D Major, Op. 77: II. Adagio","Classical, violin, concertos, concerto, romantic"
University of North Texas Symphony Orchestra,"มโนราห์, Pt. 1",Unknown
