artists,name,genres
Bob Dylan,Masters of War - Witmark Demo - 1963,Unknown
Flatt & Scruggs,Ten Miles from Natchez,Unknown
Dave Van Ronk,Mr. Noah,"country, under two minutes, ellias, George Ellias"
The Beach Boys,Ballad of Ole' Betsy (Stereo),Unknown
"""The Focsle Singers""",Rio Grande,Unknown
Grant Green,Am I Blue? - Rudy Van Gelder/24Bit Mastering/2000 Digital Remaster,Unknown
Elvis Presley,Kissin' Cousins (No. 2),Unknown
Ahmad Jamal Trio,Billy Boy - Live,Unknown
Tony Fruscella,Let's Play the Blues,Unknown
Tori Amos,Silent All These Years - Live From Spotify NYC,Unknown
Javier Solís,Dios No Lo Quiera,Unknown
Ray Price,Pride,"country, oldies, male vocalists, classic country, 60's"
"Giacomo Puccini,  Maria Callas,  Tullio Serafin,  Philharmonia Orchestra","Puccini: La bohème, Act 1: ""Sì. Mi chiamano Mimì"" (Mimi)",Unknown
Bob Dylan,Oxford Town - Witmark Demo - 1963,Unknown
Billy Joel,"Dance to the Music - Live at Madison Square Garden, New York, NY - December 31, 1999",Unknown
The Animals,Roberta,"60s, british, blues rock, classic rock, rock"
Johnny Cash,It Could Be You (Instead of Him),"country, folk, 5 of 10 stars, Emotional Adult Rock, sentimental favorites from the 1950s"
The Cars,You Might Think - 2016 Remaster,Unknown
William Elliott Whitmore,Midnight,"country, folk, good un, songs to chill by, songs to monkey it up"
Charles Aznavour,Couchés dans le foin,"Charles Aznavour, sexy soul"
Ruth Brown,Sentimental Journey,"rhythm and blues, 50s, jazz, female vocalists"
Irma Thomas,Please Send Me Someone To Love,Unknown
"Johann Sebastian Bach,  Glenn Gould","Fugue in A Major on a theme by Tomaso Albinoni, BWV 950",Unknown
Clint Eastwood,Don't Fence Me In,"country, 60s, cover, Ballad, cole porter"
Dean Martin,Mean To Me,"jazz, beautiful, cover, swing, 1337"
Julie London,Mad About The Boy,"jazz, female vocalists, easy listening, swing, female voice"
Chubby Checker,The Hully Gully,Unknown
"Giacomo Puccini,  Maria Callas,  Coro Del Teatro Alla Scala Di Milano,  Herbert von Karajan,  Mario Borriello,  Nicolai Gedda,  Orchestra Del Teatro Alla Scala,  Milano","Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",Unknown
Sarah Vaughan,"You'd Be So Nice To Come Home To - Live At The London House, Chicago, 1958",Unknown
"""Screamin Jay Hawkins""",You Made Me Love You (I Didn't Want to Do It),Unknown
Cal Tjader,East Of The Sun (And West Of The Moon),"jazz, Cal Tjader, instrumental, modern jazz, latin"
"Louis Armstrong,  Sy Oliver Choir,  The Allstars",Jonah And The Whale,"jazz, cool, vocalists, louis armstrong, classic jazz"
The Kingston Trio,Run The Ridges,"folk, male vocalists, 1960s, childhood favorites"
The Isley Brothers,When the Saints Go Marching In,"soul, 50s, traditional, 1959"
Tony Bennett,Quiet Nights of Quiet Stars (Corcovado),"jazzsinger, antonio carlos jobim composer"
James Brown & The Famous Flames,So Long,"soul, funk, al green, 1964, king records"
Nat King Cole,"Cherie, I Love You","jazz, male, jazz vocal, beautiful, excellent"
Cal Tjader,Tropicville,"jazz, latin jazz, Vibraphone"
The Beach Boys,"Cherry, Cherry Coupe (Mono)",Unknown
Nat King Cole,On The Sidewalks Of New York,geographical songs
Vince Guaraldi,Treat Street,"jazz, jazz fusion, cool jazz, Vince Guaraldi - Treat Street"
Dion & The Belmonts,You Better Not Do That,"60s, oldies, title is a full sentence, linedance"
"Johann Sebastian Bach,  Glenn Gould,  Vladimir Golschmann,  Columbia Symphony Orchestra","Keyboard Concerto No. 5 in F Minor, BWV 1056: III. Presto",Unknown
The Dave Brubeck Quartet,Take Five - Live,Unknown
"Kurt Weill,  Wolfgang Neuss,  Wilhelm Brückner-Rüggeberg","Die Dreigroschenoper: Ouvertüre (""Sie werden jetzt eine Oper für Bettler hören"")",Unknown
"Ludwig van Beethoven,  George Szell,  Cleveland Orchestra","Symphony No. 1 in C Major, Op. 21: II. Andante cantabile con moto","Classical, symphony, Ludwig van Beethoven, instrumental, beethoven"
Aretha Franklin,I Told You So,"jazz, soul, rnb, fip, Aretha Franklin"
Percy Faith & His Orchestra,Our Day Will Come,Percy Faith
Cookie & The Cupcakes,Mathilda - Version 2,Unknown
