name_artist,gen_artist
Kelly Badon,['Faltante']
Chris Caden,['Faltante']
Dexter Gordon,"['hard bop', 'jazz', 'bebop', 'cool jazz']"
Ilan Bluestone,"['trance', 'progressive trance', 'progressive house']"
Sofja Mey,['Faltante']
Cutting Crew,['Faltante']
Mc Shan,['Faltante']
45,['indietronica']
Claude King,['traditional country']
Galina Talva,['Faltante']
Ethel Ennis,['vocal jazz']
Fotis Polimeris,['laïko']
Sarah Solie Shannon,['musicals']
Year of the Knife,"['hardcore', 'hardcore punk', 'deathcore', 'metalcore']"
Giorgos Papasideris-Klarino,['Faltante']
Usha,"['telugu pop', 'tollywood']"
Zo,['indietronica']
Virtual Minimal,['minimal techno']
Nel Martini,['Faltante']
Julie Brown,['Faltante']
Aurora Cattelani/Coro del Teatro alla Scala,['Faltante']
Abity,"['organic house', 'progressive house', 'melodic techno']"
Malati Pande,['marathi pop']
Lucille Jean Norman,['Faltante']
Ciara,['Faltante']
C-Quint,"['techno', 'stutter house']"
Palacio de Bellas Artes Orchestra,['opera']
Rene & Angela,"['quiet storm', 'post-disco']"
Saber Rebai,"['egyptian pop', 'khaleeji']"
Steven Mercurio,"['opera', 'christmas']"
Marianna Radev,['requiem']
Rodney Crowell,"['americana', 'alt country', 'rockabilly']"
Alfred Drake,['musicals']
Odette Quesada,['opm']
W. Herbert Brewster,['Faltante']
Way Out West,"['progressive house', 'trance']"
Sam Kinison,"['comedy', 'glam metal']"
Hubert Fol,['Faltante']
Rebelion,"['hardstyle', 'frenchcore', 'hardcore']"
International Music System,"['italo disco', 'italo dance', 'hi-nrg', 'post-disco', 'chicago house']"
Il Nuovo Canzoniere Italiano G,['Faltante']
Stereolab,"['art pop', 'krautrock', 'indietronica', 'post-rock']"
Joakim Sandgren,['avant-garde']
Awake Bcn,['Faltante']
Moises Vivanco,"['exotica', 'go-go']"
Kyau,"['trance', 'progressive trance', 'progressive house']"
Triode,['trance']
Domolazov,['indie dance']
OMFG,"['reggaeton chileno', 'chilean mambo', 'chilean trap']"
Nathan C,"['lullaby', ""children's music""]"
National Philharmonic Orchestra,"['opera', 'classical', 'orchestra']"
OLIVIER BRISSON,['experimental']
Tim Hugh,['musicals']
Stefan Klimo,['classical']
Ning Zhou,['Faltante']
Jesús Maria Sanromá,['Faltante']
Katherine Dunham,"['soul jazz', 'calypso']"
Tess Gardella,['Faltante']
Broken Bones,['retro soul']
Martin Eyerer,"['minimal techno', 'tech house']"
Wichi,['Faltante']
Dream Warriors,"['acid jazz', 'jazz rap']"
Ital,['canzone napoletana']
Marielle Nordmann,['chamber music']
Mfischers Royale Finest Presents The Queen DJ,['Faltante']
ASIAN KUNG-FU GENERATION,"['j-rock', 'anime', 'j-pop']"
Quintette du Hot Club de France,"['swing music', 'jazz', 'french jazz']"
Chorus - Lesters Possum Park,['Faltante']
Pascal Dior,['tech house']
Bosch & Mann,['Faltante']
Lorn,['Faltante']
Spyro Gyra,"['smooth jazz', 'jazz fusion', 'jazz', 'jazz funk', 'cool jazz']"
Milan Babić,['Faltante']
XiJaro & Pitch,"['trance', 'progressive trance']"
Uhuru-Yenzu,"['highlife', 'afrobeat']"
Mihayani,['Faltante']
Jitendra Nath Dutt,['Faltante']
The Laurie Berkner Band,"[""children's music""]"
Los Fugitivos,['grupera']
The Roberta Martin Singers,['gospel']
Orchestra dellAccademia Nazionale di Santa Cecilia,"['opera', 'classical']"
Elva Kaye Lance,['Faltante']
Dennis Morgan,['Faltante']
Dani San,"['bachata', 'kizomba', 'bachata pop', 'salsa']"
Naina,['Faltante']
Claude Hopkins and His Orchestra,['ragtime']
The Undertow Project,['progressive trance']
Makano,['reggaeton']
Christmas 2020 Hits,['Faltante']
Ariel Pink,['psychedelic pop']
Labradford,"['post-rock', 'drone', 'ambient', 'slowcore']"
Blackway,['Faltante']
Doomsday Productions,"['horrorcore', 'gangster rap']"
Good Morning,['bedroom pop']
Leila K,['eurodance']
Apathy,"['underground hip hop', 'hardcore hip hop']"
Hilary Stagg,['new age']
Β.Μπατζής,['Faltante']
Tres Rosas,['Faltante']
Sid Phillips,"['swing music', 'big band']"
Probspot,"['trance', 'progressive trance']"
DRYM,"['trance', 'progressive trance']"
Propagandhi,"['skate punk', 'punk', 'melodic hardcore', 'hardcore punk', 'ska punk']"
Suzy Delair,['chanson']
Will Atkinson,"['trance', 'progressive trance']"
George Ezra,['Faltante']
Indravadan Bhatt,['Faltante']
The Toyes,['reggae']
Cimorelli,['Faltante']
Nina Stemme,['opera']
Lucia Danieli,['opera']
The Gerry Mulligan Quintet,['Faltante']
Joan Sebastian,"['banda', 'mariachi', 'ranchera', 'grupera', 'norteño', 'música mexicana']"
Penetration,"['punk', 'proto-punk', 'new wave', 'post-punk']"
Mitaki,['Faltante']
Bill Hayes,['Faltante']
Mighty Panther,['calypso']
Jane Winther,['Faltante']
Willa Ford,['Faltante']
Lil Xan,['cloud rap']
The Simms Twins,['Faltante']
Sumthin Terrible,"['hyphy', 'gangster rap']"
Grigoras Dinicu,['ragtime']
Yves Duteil,"['chanson', 'variété française', 'french jazz']"
Frederick Delius,['Faltante']
Phantogram,['indietronica']
Tomas et ses Merry Boys,['Faltante']
Patrick Sweany,"['blues rock', 'modern blues', 'roots rock', 'blues']"
Carl Sims,"['blues', 'soul blues']"
Coco DJ,['amapiano']
Forest FX,['Faltante']
Into The Woods (Original Broadway Cast),['musicals']
Corvin Burrell,"['acid house', 'minimal techno']"
Vinson Cole,"['requiem', 'classical']"
Frederick Fennell,['Faltante']
Art Blakey Percussion Ensemble,"['hard bop', 'latin jazz']"
The Singing Gods,['calypso']
Ricky Montgomery,['Faltante']
S. Iatridou,['Faltante']
France Joli,"['disco', 'post-disco', 'hi-nrg']"
Ayumi Hamasaki,['j-pop']
Susana Baca,"['latin folk', 'nueva trova']"
John Swana,"['jazz', 'hard bop']"
Swirlies,"['shoegaze', 'dream pop', 'slowcore', 'noise rock']"
Kikuo,['vocaloid']
Mr. President,['eurodance']
Illa Ghee,"['boom bap', 'underground hip hop']"
Antonis Kalampousis,['Faltante']
Alicia Villarreal,"['mariachi', 'grupera', 'tejano', 'ranchera']"
Otmar Suitner,['opera']
Blind Blake,"['ragtime', 'country blues', 'blues', 'classic blues']"
Christina Perri,['soft pop']
Robert Palmer,['Faltante']
Colbie Caillat,['Faltante']
Margaret Ritchie,['Faltante']
SickTanicK,['horrorcore']
Dishwalla,['alternative rock']
Victor / Victoria Company,['Faltante']
Bernd Glemser,"['classical', 'classical piano']"
Mitch Hedberg,"['comedy', 'spoken word']"
Grand Funk Railroad,['classic rock']
Rui Da Silva,['Faltante']
Chuji Kinoshita,['Faltante']
Peter Murphy,"['darkwave', 'deathrock', 'post-punk', 'new wave', 'synthpop']"
Mr Jones Machine,"['synthpop', 'ebm']"
Dreamgirl,['Faltante']
Conspirare,"['choral', 'requiem']"
The Dirty Dozen Brass Band,['Faltante']
Orchestra Da Camera Di Bologna,['Faltante']
Pepe Tovar Y Los Chacales,"['norteño-sax', 'norteño', 'cumbia norteña', 'música mexicana']"
Louis van Tulder,"['choral', 'chamber music']"
Allenx,['Faltante']
Hex Hector,['Faltante']
Doug Kershaw,['Faltante']
girl in red,['bedroom pop']
Make a Wish Orchestra,['Faltante']
Jesse Watson,['Faltante']
Georgio Schultz,['Faltante']
Tom Beckman,['Faltante']
V.Savona,['Faltante']
Robert Earl Keen,"['texas country', 'red dirt', 'alt country', 'americana']"
Margot & The Nuclear So And Sos,['Faltante']
Kim Carnes,['Faltante']
Jamiruddin Khan,['Faltante']
Temple One,"['trance', 'progressive trance']"
Kamaiyah,['hyphy']
PARTYNEXTDOOR,['r&b']
Elizabeth Howell,['Faltante']
Colin Horsley,['chamber music']
Jon Hassell,"['ambient', 'minimalism', 'avant-garde', 'drone']"
Tribal Tech,"['jazz fusion', 'jazz funk']"
Kate McGarrigle,['Faltante']
Rolando Aguiló y su Orquesta,['cha cha cha']
John Dowland,['medieval']
Caryl Little,['Faltante']
Ewan MacColl,"['sea shanties', 'folk', 'celtic']"
Stoney LaRue,"['texas country', 'red dirt']"
Billy Porter,['musicals']
Peter Brown,"['funky house', 'disco house', 'nu disco']"
Alfred Newman,['Faltante']
Sirah,"['hindi hip hop', 'desi hip hop', 'punjabi hip hop']"
Fernanda Cadoni,['opera']
The Lemonheads,"['power pop', 'alternative rock']"
Them Crooked Vultures,['stoner rock']
David Wayne,['Faltante']
Arctic Quest,"['trance', 'progressive trance']"
G. Nakos,['Faltante']
Kenny Dorham,"['hard bop', 'jazz', 'bebop', 'cool jazz', 'latin jazz']"
Re-Style,"['frenchcore', 'hardstyle', 'hardcore', 'gabber', 'happy hardcore', 'hardcore techno', 'speedcore']"
Nero,['Faltante']
Robert Fitch,['musicals']
Equador,['Faltante']
Michelle Branch,['Faltante']
Ray Ellis & His Orchestra & Chorus,['rockabilly']
Dizzy Gillespie,"['bebop', 'jazz', 'hard bop', 'latin jazz', 'big band', 'cool jazz']"
Headhunterz,"['hardstyle', 'frenchcore', 'melbourne bounce', 'hardcore', 'big room']"
Abbey Lincoln,"['vocal jazz', 'jazz']"
Marianne Faithfull,['Faltante']
Jorja Smith,['Faltante']
Boyce Avenue,['acoustic pop']
Sergio Endrigo,"['italian singer-songwriter', 'singer-songwriter']"
Sammy Hagar,"['glam metal', 'album rock', 'classic rock']"
Léo Peracchi,"['bossa nova', 'brazilian jazz']"
Svend Christian Felumb,['Faltante']
Étienne Nicolas Méhul,['Faltante']
Charlie Heat,['Faltante']
Richard Bonynge,"['opera', 'classical']"
Joshua Bassett,['Faltante']
? & The Mysterians,"['proto-punk', 'garage rock', 'acid rock']"
Archie Whitewater,['Faltante']
Ti Yogan,['Faltante']
Carl Carlton,['Faltante']
Sleepy Hallow,"['brooklyn drill', 'new york drill']"
Cibo Matto,"['shibuya-kei', 'trip hop', 'art pop']"
Alain Boublil,['musicals']
Jennifer Leigh Warren,['musicals']
The Partysquad,"['moombahton', 'hardstyle']"
Salvatore Abbate,['Faltante']
Terry Gilkyson,['Faltante']
Slave,['traditional music']
Travis Scott,['rap']
周璇,['c-pop']
The Cry,['doo-wop']
Sebastian Weikum,"['synthwave', 'progressive house']"
POOLCLVB,['Faltante']
John Adams,['Faltante']
Rita Streich,['opera']
Hammer & Bennett,"['trance', 'progressive trance']"
Louis Schwitzgebel-Wang,['Faltante']
Tulshiram Buva Dixit,"['devotional', 'bhajan']"
Eddie Rochester Anderson,['Faltante']
Joe Newman,['Faltante']
Hermann Greiner,['Faltante']
Helmut Walcha,['classical']
Billy Gilman,['Faltante']
Denis Solee,['jazz']
Ghost Town,['miami bass']
Thomas Scherman,['Faltante']
Rowlf,['Faltante']
D-Los,['Faltante']
Laura Leon,"['cumbia', 'cumbia sonidera']"
Inc.,['indietronica']
Jeff Warner,['sea shanties']
Emil Cooper,['opera']
Chandra,"['tollywood', 'telugu pop', 'tamil dance']"
Austin Feinstein,['Faltante']
Punnamoyee Dasi,['Faltante']
Pro Arte Quartet,['Faltante']
Carl Michael Ziehrer,['Faltante']
The Daughters Of Eve,['Faltante']
101 Strings Orchestra,"['exotica', 'orchestra', 'easy listening']"
Jamie Foxx,['Faltante']
Michael Ruff,['Faltante']
kizuna,"['j-dance', 'future bass', 'j-pop']"
Barbara Barrie,['Faltante']
Nacio Herb Brown,['Faltante']
Bodyslam,"['thai rock', 'thai pop', 'phleng phuea chiwit', 't-pop', 'luk thung']"
Jackie & The Starlites,['doo-wop']
Klaxons,"['new rave', 'alternative dance', 'indie']"
AVIRA,"['melodic techno', 'trance', 'melodic house', 'progressive trance']"
Jeff Wahl,['Faltante']
Johan Berg,['Faltante']
Margret Pfahl,['Faltante']
Le Flex,['nu disco']
Franky Rizardo,"['house', 'tech house']"
Horace Parlan,"['hard bop', 'jazz', 'bebop', 'free jazz', 'cool jazz']"
Leo Kottke,['Faltante']
Leviti,"['jungle', 'drum and bass']"
Finch,['schlagerparty']
Shyam Sunder,['Faltante']
Ossy Renardy,['Faltante']
Igor Pose,['Faltante']
Cain/Abel,['Faltante']
Jemimah Wylde,['Faltante']
John Hughes,"['opm', 'pinoy r&b']"
Claudionor Germano,['Faltante']
Vanilla Ice,['Faltante']
Kerstin Meyer,['opera']
Racoon,['nederpop']
Dimitris Semsis-Violi,['Faltante']
Freeman,['Faltante']
Zolan Jakab (Bridge To Solace),['Faltante']
Clark Johnsen,['musicals']
Crooked Still,"['bluegrass', 'newgrass', 'gothic country', 'americana', 'folk']"
Chuck Wagner,['musicals']
The X Brothers,['Faltante']
Marva Whitney,['Faltante']
Felipe Arriaga,"['mariachi', 'ranchera', 'música mexicana']"
Ina Wroldsen,['norwegian pop']
Orchester des Plaza-Varietés,['schlager']
Stuff Smith & His Onyx Club Boys,['Faltante']
Twisted Sister,"['glam metal', 'glam rock']"
Alice Rose,"['melodic techno', 'progressive house']"
Yvonne Othon,['musicals']
Stefan Nilsson,['swedish ballads']
A$AP Ferg,['rap']
Smoke DZA,['Faltante']
The Boys Choir Of Harlem,['Faltante']
Chet Atkins & His Colorado Mountain Boys,['traditional country']
Ty Nitty,['Faltante']
Else Schurhoff,['opera']
Percy Heath,"['cool jazz', 'jazz', 'hard bop', 'bebop']"
Henry Hall,['Faltante']
Ευαγγελία Μαρκοπούλου,['laïko']
The Egyptian Lover,"['miami bass', 'electro']"
R-TEC,"['seresta', 'brega', 'arrocha', 'forró', 'piseiro', 'tecnobrega']"
Tracey Ullman,['Faltante']
Юрий Силантьев,['Faltante']
稲垣次郎とソウル・メディア,"['jazz fusion', 'jazz funk', 'jazz']"
Hemant Kumar,"['bangla pop', 'ghazal', 'marathi pop']"
Michael William Balfe,['Faltante']
Roger Dale Hockensmith,['Faltante']
Gnonnas Pédro,['Faltante']
DJ Fleg,['breakbeat']
DJ Meme,['brazilian bass']
Dave Horne,"['progressive house', 'progressive trance', 'trance']"
Buddy Castle,['Faltante']
At The Drive In,"['post-hardcore', 'emo']"
Robert Schumann,"['classical piano', 'classical', 'chamber music']"
Peter Raabe,['Faltante']
Afternova,['trance']
Renan Garcia,['Faltante']
Teenage Fanclub,"['power pop', 'jangle pop', 'britpop']"
Moodymann,"['chicago house', 'deep house']"
Yaz,['Faltante']
PatrikR Project,['Faltante']
Demun Jones,['country hip hop']
ฝ้าย แอม ฟายน์ (ฝ้าย Am Fine),['Faltante']
The Abner,['Faltante']
Kurupt,"['g-funk', 'west coast hip hop', 'gangster rap']"
Federico Moreno Torroba,['Faltante']
Frank Rogier,"['opera', 'chamber music']"
Celeste Mendoza,"['son cubano', 'bolero', 'latin jazz']"
Gyanendra Prasad Goswami,['Faltante']
Jefrey Blake,"['melodic techno', 'melodic house', 'progressive house']"
Echo & the Bunnymen,"['new wave', 'post-punk', 'darkwave']"
John Raitt,['musicals']
Manno Wolf-Ferrari,['Faltante']
Tall Heights,"['folk pop', 'indie folk']"
Giorgos Xatzimixalis,['Faltante']
Adalberto Santiago,"['salsa', 'salsa romantica']"
City Of Birmingham Symphony Orchestra,"['orchestra', 'classical']"
Beau Sunita,['thai pop']
Mercedes Sosa,"['trova', 'folklore argentino', 'nueva trova', 'latin folk', 'singer-songwriter']"
La Linea,"['merengue', 'salsa']"
Sierra Boggess as Ariel,['musicals']
Marian McPartland,"['jazz', 'cool jazz']"
Skillet,"['christian rock', 'christian alternative rock', 'christian']"
Luis Rovira y su Orquesta,"['folk pop', 'ragtime']"
The Beat Crush,['breakbeat']
Kintero Shinigami,['Faltante']
The Passerby,['mandopop']
Arvind Pandya,['Faltante']
Anuradha Sriram,"['tamil dance', 'tamil pop', 'kannada pop', 'kollywood']"
Satan Hussein,['Faltante']
Israel Vibration,"['roots reggae', 'reggae', 'dub', 'ragga', 'rocksteady']"
Dimitris Holevas,['Faltante']
Bruce Gaddy,['Faltante']
Cinderella Ensemble,['Faltante']
Jermaine Paul,['Faltante']
D. V. Paluskar,"['bhajan', 'devotional']"
Cody Chesnutt,['neo soul']
Michael Kwan,['cantopop']
Novi,['Faltante']
Lou Christie,['doo-wop']
Lukas Nelson and Promise of the Real,"['americana', 'alt country']"
Alvaro Cordova,['opera']
DevilDriver,"['groove metal', 'metal', 'melodic death metal']"
Stiv Bators,"['power pop', 'proto-punk', 'punk']"
Doris Monteiro,"['bossa nova', 'brazilian jazz', 'samba']"
Tristan Garner,['Faltante']
Christian Borle,['musicals']
MAC MacLAIN,['Faltante']
Don Blackman,"['post-disco', 'jazz funk']"
UDM Project,['Faltante']
Corey Taylor,['Faltante']
René Paulo,"['exotica', 'go-go']"
O.T. Genasis,['Faltante']
Anderson Bruford Wakeman Howe,"['progressive rock', 'symphonic rock', 'art rock']"
Mitch Miller & The Gang,['christmas']
Wally Stott,['vocal jazz']
Original NZBC Commentaries,['Faltante']
Melancholieia,['Faltante']
The Dice Man,['idm']
เฟย์ ฟาง แก้ว,"['t-pop', 'thai pop']"
