artists,name,genres
Olivia Rodrigo,drivers license,"pop, bedroom pop, sad, 2021, Ballad"
Ariana Grande,positions,"pop, rnb, 2020, 2020s, trap"
"24kGoldn,  iann dior",Mood (feat. iann dior),"pop, rap, pop rap, 2020, 2020s"
"Bad Bunny,  Jhay Cortez",DÁKITI,"rnb, latin, 2020s, rap, ambient pop"
KAROL G,BICHOTA,"Reggaeton, latin, 2020, 2020s, Karol G"
"Bad Bunny,  ROSALÍA",LA NOCHE DE ANOCHE,"Reggaeton, latin, snl, king of pop, rosalia"
Billie Eilish,Therefore I Am,"electropop, downtempo, Jazz-Pop, alternative rnb, 2020"
The Kid LAROI,WITHOUT YOU,"pop, emo, acoustic, rap, The Kid Laroi"
CJ,Whoopty,"rap, hip hop, fun, trap, badass"
Ariana Grande,34+35,"pop, 2020, rnb, 2020s, trap pop"
Pop Smoke,What You Know Bout Love,"hip hop, rap, 2020, 2020s, Pop Smoke"
Tate McRae,you broke me first,"electropop, pop, Canadian, 2020, 2020s"
Lil Nas X,HOLIDAY,"christmas, 2020, 2020s, Hip-Hop, rap"
"Justin Bieber,  benny blanco",Lonely (with benny blanco),"2020s, sad, justin bieber, 2020, pop"
"Cardi B,  Megan Thee Stallion",WAP (feat. Megan Thee Stallion),"trap, Hip-Hop, rap, 2020, best of 2020"
Boza,Hecha Pa' Mi,Unknown
Tiësto,The Business,"electronic, dance, House, 2020s, dance-pop"
Justin Bieber,Anyone,"black metal, pop, rnb, justin bieber, Hip-Hop"
Conan Gray,Heather,"pop, sad, indie, folk, 2020"
BTS,Dynamite,"pop, Disco, k-pop, bts, Kpop"
"Bad Bunny,  Jhay Cortez",DÁKITI,"rnb, latin, 2020s, rap, ambient pop"
"Shawn Mendes,  Justin Bieber",Monster (Shawn Mendes & Justin Bieber),"justin bieber, 2020, pop, canada, adult contemporary"
"Manuel Turizo,  Rauw Alejandro,  Myke Towers",La Nota,Unknown
"DaBaby,  Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),"rap, Roddy Ricch, DaBaby, Hip-Hop, hip hop"
"Joel Corry,  MNEK",Head & Heart (feat. MNEK),"House, electronic, dance, deep house, dance pop"
"Myke Towers,  Juhn",Bandido,"Reggaeton, 2020, 2020s, Myke Towers, juhn"
BTS,Life Goes On,"bts, k-pop, pop, Korean, Kpop"
Harry Styles,Watermelon Sugar,"pop, rock, 2019, 2010s, indie pop"
SZA,Good Days,"alternative rnb, rnb, Neo-Soul, 2020, soul"
"Pop Smoke,  Lil Baby,  DaBaby",For The Night (feat. Lil Baby & DaBaby),"MySpotigramBot, Hip-Hop, hip hop, rap, trap"
Sia,Snowman,"christmas, sia, Christmas Songs, christmas pop, indie"
"Dua Lipa,  DaBaby",Levitating (feat. DaBaby),"pop, Disco, nu-disco, 2020, DaBaby"
"Sech,  Daddy Yankee,  J Balvin,  ROSALÍA,  Farruko",Relación - Remix,"dance, latin, Reggaeton, latin pop, pop"
"MEDUZA,  Dermot Kennedy",Paradise (feat. Dermot Kennedy),"electronic, House, deep house, EDM, crushing"
"Internet Money,  Gunna,  Don Toliver,  NAV",Lemonade,"2020, Hip-Hop, hip hop, rap, urban"
Lewis Capaldi,Someone You Loved,"2010s, pop, alternative, soft rock, 2018"
"Sebastian Yatra,  Guaynaa",Chica Ideal,Unknown
HVME,Goosebumps,"House, deep house, cover, party, captivation"
Farruko,La Tóxica,Unknown
"Justin Bieber,  Chance the Rapper",Holy (feat. Chance The Rapper),"piano, pop, rnb, 2020, gospel"
Ed Sheeran,Afterglow,"2020s, pop, folk, Ed Sheeran, 2020"
Camilo,Vida de Rico,"cumbia, wsc 3 semi 3, linedance 2021, C Artist"
Bad Bunny,TE MUDASTE,"latin, Reggaeton, rnb, rnb reggaeton"
Mariah Carey,All I Want for Christmas Is You,"christmas, pop, xmas, Mariah Carey, female vocalists"
The Neighbourhood,Sweater Weather,"indie, alternative, chill, can't stop listening, summer"
"Lele Pons,  Guaynaa",Se Te Nota (with Guaynaa),Unknown
"Camilo,  El Alfa",BEBÉ,"bachata, Colombia, vives en mi corazon bebe"
Tones And I,Dance Monkey,"pop, 2019, 2010s, Trash, terrible"
Post Malone,Circles,"pop, indie pop, 2010s, 2019, pop rock"
Taylor Swift,willow,"indie, folk, folk pop, alternative, indie folk"
