artists,name,genres
Jeff Wahl,It Came Upon a Midnight Clear,Unknown
Marco Antonio Solís,Tu Hombre Perfecto,marcoantonio solis
Rob Thomas,Someday,"pop, rock, male vocalists, alternative rock, 2009"
Oflow,Brick Afta Brick,Unknown
Too $hort,Just Another Day,"Hip-Hop, Gangsta Rap, rap, 90s, G-funk"
Mary J. Blige,Work That,"rnb, female vocalists, soul, mary j blige, hip hop soul"
Parokya Ni Edgar,Silvertoes,"Pinoy band, Parokya ni Edgar, favourite pinoy music"
Jennifer Love Hewitt,No Ordinary Love,"female vocalists, pop, Ballad, Love it, pop-fave face"
Guilherme Arantes,Cheia de Charme,"dance, California, Disco, 80s, album rock"
Backstreet Boys,I'll Never Break Your Heart,"pop, 90s, boybands, backstreet boys, Love"
Leroy Anderson,Sleigh Ride,"christmas, Classical, instrumental, holidays, contemporary classical"
Enrique Iglesias,Do You Know? (The Ping Pong Song),"pop, Enrique Iglesias, male vocalists, latin, catchy"
Björk,Army of Me,"electronic, alternative, female vocalists, bjork, icelandic"
New Boyz,You're a Jerk,"new boyz, Jerk, rap, Hip-Hop, jerkin"
Talking Heads,Girlfriend Is Better - 2005 Remaster,"new wave, funk, mutant disco, lesbiano, MySpotigramBot"
Billy Joel,Keeping the Faith,"rock, 80s, billy joel, classic rock, soft rock"
Third Eye Blind,Deep Inside of You - 2008 Remaster,"pop rock, pop, alternative rock, 00s, 2000s"
Billy Joel,Leave a Tender Moment Alone,"80s, rock, pop, piano, singer-songwriter"
"Tommy Dorsey,  Frank Sinatra",Polka Dots and Moonbeams,Unknown
Filter,Welcome to the Fold,"rock, industrial rock, alternative, alternative rock, industrial"
Five For Fighting,The Riddle,"rock, alternative, acoustic, Five for Fighting, singer-songwriter"
Disturbed,Remember,"metal, hard rock, Nu Metal, rock, alternative metal"
Buckshot LeFonque,Music Evolution,"jazz-hop, Hip-Hop, Jazz Hop, jazz, jazz-rap"
Yello,The Race,"electronic, 80s, synth pop, electronica, yello"
Ana Gabriel,Es el Amor Quien Llega,"pop, latin, Ana Gabriel, spanish, female vocalists"
Lucio Battisti,Mi ritorni in mente,"italian, singer-songwriter, lucio battisti, italianigdchill, cantautori"
Frank Reyes,Princesa,"bachata, latin, Frank Reyes, salsa, spanish"
