artists,name,genres
Armin van Buuren,Sail [ASOT 281] - Original Mix,Unknown
Ella Fitzgerald,Baby,"jazz, jazz vocal, female vocalists, Love, choral"
Onova,Platitude [ASOT 332] - Original Mix,Unknown
"Robert Shafer,  Stephen Douglass","Goodbye, Old Girl",GOG
"Bissen,  the Crossover,  Joint Operations Centre",Quicksand [ASOT 332] - Joint Operations Centre Remix,Unknown
Armin van Buuren,A State Of Trance [ASOT 281] - Outro,Unknown
Lost World,A Life Elsewhere [ASOT 281] - Original Mix,Unknown
Stoneface & Terminal,Super Nature [ASOT 281] - Original Mix,Unknown
Alexey Selin,White Chrystal [ASOT 281] - Original Mix,Unknown
Robert Johnson,Honeymoon Blues,"blues, delta blues, Robert Johnson, Classic Blues, guitar"
Robert Johnson,Ramblin' On My Mind - Take 2,Unknown
Crivel E Coro,Ti Saluto… (Vado In Abissinia),Unknown
"Billie Holiday,  Teddy Wilson",Until the Real Thing Comes Along (with Teddy Wilson & His Orchestra) - Take 2,Unknown
Billie Holiday,Practice Makes Perfect - Take 4,Unknown
"Billie Holiday,  Teddy Wilson",Mandy Is Two (with Teddy Wilson & His Orchestra) - Take 2,Unknown
Original Broadway Cast Of Can-Can,It's All Right With Me,Unknown
"Josef Strauss,  Mariss Jansons,  Wiener Philharmoniker","Jokey, Polka schnell, Op. 278",Unknown
"Josef Strauss,  Mariss Jansons,  Wiener Philharmoniker","Feuerfest, Polka francaise, Op. 269 - mit Sängerknaben",Unknown
Fletcher Henderson & His Orchestra,Sugar Foot Stomp,"swing, Metro Jazz, Early Jazz, Swing Jazz, classic jazz"
Guandulito,El Cuento de la Vieja,Unknown
The Shadows,All My Sorrows,Unknown
The Shadows,Back Home,fip
Gerry & The Pacemakers,Today I'm in Love - Mono,Unknown
Eyeless In Gaza,Lights Of April,"new wave, lovely, spring, april, change"
The Shadows,Spring Is Nearly Here,"oldies, rock, instrumental, 00s, spring"
"Billie Holiday,  Eddie Heywood",Romance In the Dark (with Eddie Heywood & His Orchestra) - Take 4,Unknown
Billie Holiday,Practice Makes Perfect - Take 3,Unknown
"Billie Holiday,  Teddy Wilson",Wherever You Are (with Teddy Wilson & His Orchestra) - Take 2,Unknown
"Billie Holiday,  Eddie Heywood",Romance In the Dark (with Eddie Heywood & His Orchestra) - Take 3,Unknown
