artists,name,genres
Bessie Smith,"Empty Bed Blues, Pt. 1",bessie smith
Suicide,Surrender - 2005 Remastered Version,Unknown
"""Kings X""",Goldilox,Unknown
Bonnie Raitt,The Road's My Middle Name,"blues, female vocalists, blues rock, rock, country"
Bette Midler,Otto Titsling,"Bette Midler, female vocalists, funny, Soundtrack, pop"
"Rubén Blades,  Willie Colón",De Que?,Unknown
Michael Martin Murphey,"I'm Gonna Miss You, Girl","country, 1987, 80s, Ballad, contemporary country"
Black Uhuru,General Penitentiary,"reggae, roots reggae, dub, jamaica, dub reggae"
"Peter,  Paul and Mary",If I Had Wings,Unknown
The Judds,Silent Night,"christmas, country christmas"
"Antonín Dvořák,  Itzhak Perlman,  Erich Leinsdorf,  Boston Symphony Orchestra","Romance in F Minor, Op. 11, B. 39",Unknown
Ella Fitzgerald,The Old Rugged Cross,"soul, gl4m"
The Monkees,She Hangs Out - 2007 Remastered Version,Unknown
Boogie Down Productions,Poetry,"Hip-Hop, Old School Hip Hop, hip hop, rap, krs-one"
Ricky Van Shelton,I Meant Every Word He Said,"country, I Meant Every Word He Said, classic country, my favorite, beautiful"
"Salt-N-Pepa,  Spinderella",Get Up Everybody (Get Up),"80s, Hip-Hop, rap"
Mc Shan,Left Me -- Lonely,Unknown
Varg Skriker,Aukar Ate,Unknown
"Peter,  Paul and Mary",The Song Is Love,Unknown
Air Supply,Winter Wonderland,"christmas, Air Supply, pop rock, cute, soft rock"
The Beach Boys,Gettin' Hungry - Remastered 2001,Unknown
Oingo Boingo,Pain,"new wave, funky, 80s Pop, pop, favorites"
LL Cool J,Go Cut Creator Go,"Hip-Hop, hip hop, 1987, rap, 80"
Russ Taff,I Still Believe,contemporary christian
Elizabeth Cotten,Oh babe it ain't no lie,"americana, blues, folk, guitar, country"
John Michael Talbot,Psalm 62 (Only In God),Unknown
"Benny Goodman Sextet,  Benny Goodman,  Charlie Christian",Seven Come Eleven (feat. Benny Goodman & Charlie Christian),Unknown
Kix,"Red Lite, Green Lite, TNT","hard rock, classic rock, metal, rock, 80s"
"Johann Sebastian Bach,  Boston Pops Orchestra,  Arthur Fiedler","Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",Unknown
Waylon Jennings,Crazies: Rough And Rowdy Days - Chapter Six,Unknown
"Willie Colón,  Celia Cruz",Dos Jueyes,Unknown
"George Frideric Handel,  Dame Joan Sutherland,  Cappella Coloniensis,  Ferdinand Leitner","Alcina, HWV 34 / Act 1: Tornami a vagheggiar - Live",Unknown
Scorpions,Don't Stop At The Top,"hard rock, classic rock, heavy metal, 80s, rock"
Highway 101,(Do You Love Me) Just Say Yes,"country, country rock, 1988, Country and Western, bestallof"
"""Hermans Hermits""",Listen People,Unknown
"Traditional,  The Philadelphia Brass Ensemble",The First Noel,"christmas, xmas, holidays"
Hank Williams,I'm Sorry For You My Friend,"country, Traditional Country, folk, 70s, american"
Percy Faith & His Orchestra & Chorus,White Christmas,RoddyHughes1923
Banda Movil,El Toro Moro,Unknown
"Felix Bernard,  Arthur Fiedler,  Boston Pops Orchestra",Winter Wonderland,"christmas, christmas classics, hda, stupid flanders"
"Johann Sebastian Bach,  Boston Pops Orchestra,  Arthur Fiedler",Cantata BWV 208 (Arr. William Walton): Sheep May Safely Graze,Unknown
Boogie Down Productions,I'm Still #1,"Hip-Hop, classic, rap, 80s, hip hop"
"Jerry Herman,  Angela Lansbury,  Frankie Michaels,  Jane Connell,  Sab Shimono,  Donald Pippin",Mame: We Need a Little Christmas,Unknown
The Monkees,Papa Gene's Blues - Original Stereo Version; 2006 Remaster,Unknown
Reba McEntire,On This Day,country christmas
Metallica,The Wait (Remastered),Unknown
Hank Williams,They'll Never Take Her Love From Me,"country, classic country, Hank Williams, folk, american"
Nina Simone,Blackbird,"jazz, vocal, jazz vocal, female vocalists, blues"
Traffic,Heaven Is In Your Mind,"classic rock, 60s, psychedelic, rock, Psychedelic Rock"
George Jones,Why Baby Why,"country, classic country, george jones, Traditional Country, Honky Tonk"
"Anonymous,  Boston Pops Orchestra,  Arthur Fiedler",Christmas Festival,Unknown
Guadalcanal Diary,Litany (Life Goes On),"my faith, drums of heaven, indie, rock, 80s"
"Giuseppe Verdi,  James Levine,  Metropolitan Opera Orchestra",Anvil Chorus from Il trovatore - Vocal,Unknown
Hüsker Dü,Hardly Getting over It,"Post punk, indie rock, early grunge, alternative rock, post-punk"
"Earth,  Wind & Fire",Turn It into Something Good,Unknown
"Eydie Gormé,  Los Panchos",Luna Lunera,Unknown
New Kids On The Block,Be My Girl,"new kids on the block, soul, 80s, kitsch, heard on Pandora"
Los Panchos,Rayito de Luna - Remasterizado,Unknown
"Franz Xaver Gruber,  The Philadelphia Brass Ensemble","Silent Night, Holy Night",Unknown
