artists,name,genres
Julian Whiterose,Iron Duke in the Land,"calypso, alan lomax, gramophone, Mondiovision, 20's"
Cosmic Gate,Light Years (WYM300),Unknown
Heatbeat,Mortal Kombat (FYHYM2018),Unknown
Woody Herman & His Orchestra,Bijou (Rhumba a la Jazz),Unknown
"Georgette Heyer,  Irina Salkow",Kapitel 114 - Der Page und die Herzogin,Unknown
"Claude Debussy,  Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,  Roger Desormiere,  Orchestre Symphonique De Paris","Pelléas et Mélisande (2006 Digital Remaster), Act III, Scene Two: Prenez garde; par ici, par ici (Golaud/Pelléas)",Unknown
Lead Belly,Worried Blues,Unknown
Carlos Gardel,Mano cruel,Unknown
"J Balvin,  Tainy,  Dua Lipa,  Bad Bunny",UN DIA (ONE DAY),Unknown
"Exquisite Classic,  Johann Sebastian Bach,  Franz Peter Müller-Sybel","Brandenburg Concerto No. 3 in G major, BWV 1048 - II. Adagio",Unknown
"J Balvin,  Willy William,  Beyoncé",Mi Gente,"Reggaeton, latin, pop, latin pop, colombian"
"B.Kierulf,  J.Schwartz,  Sassydee",My Only Wish (This Year),Unknown
Count Basie,Rock-A-Bye Basie - Live,Unknown
"Claude Debussy,  Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,  Roger Desormiere,  Orchestre Symphonique De Paris","Pelléas et Mélisande (2006 Digital Remaster), Act II, Scene Three: Oui, c'est ici, nous y sommes (Pelléas/Mélisande)",Unknown
Renato Rascel,La Mia Donna Si Chiama Desiderio,Unknown
Ghantasala,Brathukantha Baadhagaa,Unknown
"Bogdan Vix,  KeyPlayer",Stranger Things (FYHYM2018),Unknown
"JES,  Andy Moor",Two Souls (Year in Review 2020) - Andy Moor Remix,Unknown
"Kamaya Painters,  Nifra,  Fisherman",Wasteland (Year in Review 2020) - Nifra & Fisherman Remix,Unknown
Lola Flores,"Don Quijote, Madrid - New York (Chotis)",Unknown
葛蘭,今宵樂,Unknown
"Asha Bhosle,  Mohammed Rafi",O Ballo Soch Ke Mele Jana,Unknown
Above & Beyond,Rocket Science (FYHYM2018),Unknown
"Johann Sebastian Bach,  Claudio Arrau","Goldberg Variations, BWV 988: Variation I",Unknown
Percy Faith & His Orchestra,A Kiss In the Dark,Unknown
Claudio Villa,Ddoje stelle so' cadute,Unknown
Angela Bassett,Intro,Unknown
"Georgette Heyer,  Irina Salkow",Kapitel 235 - Der Page und die Herzogin,Unknown
G. I. Gurdjieff,"83a) No. 55, First Series",Unknown
白光,我是女菩薩,Unknown
"Sergei Rachmaninoff,  Moura Lympany","10 Preludes, Op. 23: No. 5 in G Minor: Alla marcia","Classical, piano, Rachmaninoff, flaneur, music to work by"
"Georgette Heyer,  Irina Salkow",Kapitel 348 - Der Page und die Herzogin,Unknown
白光,春光曲,Unknown
"Muzio Clementi,  Vladimir Horowitz","Piano Sonata in A Major Op. 33, No. 1: I. Allegro",Unknown
"J Balvin,  Willy William,  Beyoncé",Mi Gente,"Reggaeton, latin, pop, latin pop, colombian"
Liva Weel,Gå med i lunden,Unknown
"Claude Debussy,  Walter Gieseking","Debussy: Préludes, Livre I, CD 125, L. 117: No. 11, La danse de Puck",Unknown
"Wolfgang Amadeus Mozart,  Bruno Walter,  New York Philharmonic","Symphony No. 35 in D Major, K. 385 ""Haffner"": III. Menuetto",Unknown
Danny Kaye,My Ship,Unknown
"George Gershwin,  P. G. Wodehouse,  Barbara Ruick,  Oh,  Kay! Ensemble (1955),  Lehman Engel","Oh Kay!: Oh, Kay!",Unknown
Lowell Fulson,San Francisco Blues,"blues, allboutguitar, guitar, rhythm and blues, san francisco"
"Wolfgang Amadeus Mozart,  Claudio Arrau","Piano Sonata No. 5 in G Major, K. 283 (K. 189h): II. Andante - Attaca",Unknown
"Pietro Mascagni,  Renato Cellini","Cavalleria Rusticana: A casa, a casa, amici, ove ci aspettano",Unknown
"Richard Wagner,  Arturo Toscanini",Act III: Siegfried's Death and Funeral Music,Unknown
"Claude Debussy,  Barbra Streisand,  Claus Ogerman",Beau Soir - Voice,Unknown
"Jean Sibelius,  Herbert von Karajan,  Philharmonia Orchestra","Sibelius: Tapiola, Op. 112",Unknown
"Georgette Heyer,  Irina Salkow",Kapitel 120 - Der Page und die Herzogin,Unknown
"Georgette Heyer,  Irina Salkow",Kapitel 359 - Der Page und die Herzogin,Unknown
Almirante,História do Brasil,Unknown
"Richard Rodgers,  ""Salvatore DellIsola"",  Ezio Pinza,  Henry Mitchell,  Jim Hawthorne,  Alan Gilbert",South Pacific (1949): Younger Than Springtime - Voice,Unknown
J Balvin,Rojo,"spanish, latin, latin pop"
"Albert Hammond,  Johnny Mathis",99 Miles from L.A.,"70s, folk, soft rock, Sommer, 1975"
"Soft Blade,  AIIID,  Петр Пазына,  Сергей Волокиткин",A Thousand Years Old Jam,Unknown
Pete Seeger,Double Thumbing,Unknown
"Claude Debussy,  Eugene Ormandy,  Philadelphia Orchestra","La Damoiselle élue, L. 62",Unknown
Robert Farnon,Reflections in the Water,Unknown
"Johann Sebastian Bach,  Andrés Segovia","Courante, BWV 1009",Unknown
Van Shipley,Hamen Tumse Pyar Kitna - Instrumental,Unknown
"George Gershwin,  P. G. Wodehouse,  Allen Case,  Roger White,  Oh,  Kay! Ensemble (1955)",Oh Kay!: Don't Ask,Unknown
