track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
7bcSXH6JjFHu0UPBKhCVnR,Pequeña Serenata Diurna,Macha Y El Bloque Depresivo,44,Macha y el Bloque Depresivo,45,262000,False,2018-10-05,0.568,0.577,9,-9.015,0,0.062,0.313,0.000753,0.112,0.54,119.526,Unknown
1EF9Mvzhmo4MrFeUKhGkfF,Hotel,Saul,27,Hotel 471,26,334959,True,2018-04-14,0.521,0.637,1,-7.605,0,0.0304,0.192,0.0,0.0846,0.119,85.984,Unknown
16swxXwxPC7Udw4mcsgpvm,Don't Come Easy,Raheem DeVaughn,0,Decade Of A Love King,0,203639,False,2018-10-19,0.68,0.381,11,-10.084,0,0.225,0.862,3.72e-06,0.0985,0.215,71.448,Unknown
54wtq6DAWDVmkfLsKr0CkA,Révolution,Intik,5,La Victoire,6,249973,False,2001-09-05,0.888,0.645,2,-3.562,1,0.371,0.219,0.0,0.438,0.614,101.226,Unknown
5f49E0z0xZNeYS0CU0bi4l,Family,Teddie Ericsson,0,The Game Is On,0,266515,False,2018-01-01,0.654,0.828,10,-5.59,1,0.0346,0.146,0.0,0.282,0.924,80.031,Unknown
2cXby6bRE7SyQ9nQVRYKBT,Castles,Anish Sood,0,Castles,0,226986,False,2018-01-22,0.765,0.777,0,-6.445,1,0.0816,0.0375,0.000139,0.0857,0.225,125.97,Unknown
7bLh5731j5ouzABXYQisTt,,,0,,0,0,False,0000,0.438,0.0153,5,-26.985,1,0.0457,0.994,0.966,0.121,0.196,66.752,Unknown
1zGKKeoC46p6o09w2Iwddr,ピアノとヴァイオリンのためのソナタ ハ長調 K.403 II. Andante,Wolfgang Amadeus Mozart,0,モーツァルト:ピアノとヴァイオリンのための作品全集II,0,201666,False,2018-05-16,0.22,0.0268,5,-26.32,1,0.0423,0.964,2.43e-05,0.19,0.145,90.964,Unknown
7rQzsJYoHYqaIayxUMv9A3,不要怕&啊杰咯,莫西子诗,0,月光白得很,29,323210,False,2018-06-12,0.494,0.506,1,-7.15,1,0.0301,0.722,0.175,0.11,0.282,122.011,Unknown
7lmhOEq3UJGm9LOgjbdbWm,Karaindrou: To Vals Tou Gamou,Eleni Karaindrou,44,Music For The Film Sounds And Silence,45,198680,False,2011-08-26,0.199,0.0852,6,-26.533,0,0.0385,0.874,0.0219,0.208,0.35,185.57,Unknown
