artists,name,genres
"Giuseppe Verdi,  Gino Marinuzzi,  Bruno Erminero,  Carlo Tagliabue,  ""Coro dellEIAR di Torino"",  ""Orchestra Sinfonica dellEIAR di Torino""","Verdi : La forza del destino : Act 2 ""Son Pereda, son ricco d'onore"" [Carlo, Chorus]",Unknown
"Karolina Dawn,  Agravic",Make Us High - Agravic Radio,Unknown
Natalino Otto,Per un filo d'erba,Unknown
Claudio Villa,Fili d'oro,Unknown
Shamim Akhtar,Dil Ki Duniya Jo Loota Di,Unknown
Orchestra Studio 7,Scetate - Instrument and base Version,Unknown
"Ludwig van Beethoven,  Rudolf Serkin","Violin Sonata No.9 in A Major, Op. 47 ""Kreutzer"": Variation II",Unknown
Temple One,Aquamarine,Unknown
"Maurice Ravel,  Oscar Levant","Minuet from ""Le Tombeau de Couperin""",Unknown
Claudio Villa,Maruzzella,Unknown
Orchestra Studio 7,Giuvanne cu 'a chitarre - Musical base Version,Unknown
"Wolfgang Amadeus Mozart,  Jarmila Novotna,  Willi Domgraf-Fassbaender,  Wiener Philharmoniker,  Arturo Toscanini","Die Zauberflöte, K. 620 (Excerpts): Bei Männern, welche Liebe fühlen",Unknown
Shamim Akhtar,Meera Ke Man Mein Basi,Unknown
Umm Kulthum,Opera Ayda,Unknown
Natalino Otto,Troviamoci domani a Portofino,Unknown
"Giuseppe Verdi,  Gino Marinuzzi,  Bruno Erminero,  Carlo Tagliabue,  ""Coro dellEIAR di Torino"",  Dario Caselli,  ""Orchestra Sinfonica dellEIAR di Torino""","Verdi : La forza del destino : Act 2 ""La cena è pronta"" [Alcade, Chorus, Carlo]",Unknown
Carlo Buti,Serenata fiorentina,Unknown
Harishchandra Bali,Meri Kheti Mata,Unknown
Orquesta Gran Casino,Compadre Serenito - Remastered,Unknown
"Felix Mendelssohn,  Arturo Toscanini","Incidental Music to A Midsummer Night's Dream, Op. 61: Overture, Op. 21",Unknown
"Francisco Canaro,  Carlos Roldán",Mi Castigo - Remasterizado,Unknown
Earl Hines & His Orchestra,Somehow,Unknown
"Giorgos Papasideris,  Nikos,  Karakostas,  Klarino",Stamata Annoyla ta violia,Unknown
Asha Bhosle,Tujhe Khanjar Se Maroon,Unknown
Ken Elkinson,Greensleeves,christmas
