track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
34f8X9ZMMgqdjD17VuPfpz,ผู้โชคดี,NINE BY NINE,43,ผู้โชคดี,45,197187,False,2019-01-28,0.621,0.761,2,-4.959,1,0.0398,0.00649,0.0,0.159,0.553,124.001,Unknown
1ZPMLCzCwIvLbMFWvYiw4H,See U Later,BLACKPINK,0,SQUARE UP,0,198866,False,2018-06-15,0.74,0.926,9,-3.965,0,0.112,0.0376,0.0,0.582,0.571,106.987,"k-pop, dance, 2018, electronic, electropop"
6yRnHTEMBHuT4iFejmV8Hn,คำอธิบาย,Pango,4,Cover Project : A Part of Love Story,6,214600,False,2019-01-28,0.456,0.313,9,-11.472,1,0.0366,0.84,3.25e-05,0.128,0.19,143.416,Unknown
4VgS7TMARnwt3ln9c4ZFle,มนต์รักนักแร็พ,FIIXD,2,มนต์รักนักแร็พ,31,275555,True,2019-01-08,0.805,0.816,1,-3.978,1,0.127,0.0141,0.0,0.333,0.495,162.003,Unknown
4Kqvjf6CBJBTOoMGPYtVX1,Pirana,Şehinşah,0,Pirana,0,214983,False,2019-02-01,0.521,0.815,6,-7.343,0,0.379,0.436,0.0,0.0844,0.535,157.609,Unknown
4NkKfZe4USK76vt2dVnIQ8,Kıskanç,Kubilay Karça,0,Kıskanç,0,202527,False,2019-01-11,0.828,0.855,7,-5.314,1,0.135,0.155,0.0,0.286,0.261,128.056,Unknown
4KA9dY8U5Ih5HTH2pq45bp,Âşık,Ebru Gündeş,0,Âşık,0,241001,False,2019-01-31,0.452,0.642,8,-6.772,0,0.0509,0.438,0.0,0.371,0.423,124.198,Unknown
3AXScNtH6Ywywwma6u8h95,Gel Bana,Mustafa Sandal,0,Gel Bana,0,183337,False,2019-01-14,0.867,0.583,4,-8.782,0,0.359,0.18,5.05e-05,0.147,0.451,90.017,M Artist
23z6Ev2iQ48ho1MJI6tsVX,Kural Ne Bilmiyorum,Istanbul Trip,22,Kural Ne Bilmiyorum,25,276394,True,2019-01-16,0.747,0.643,10,-6.046,0,0.29,0.0524,0.0,0.0772,0.429,119.918,Unknown
50yavBoDEOtZ9VFgvEUoiZ,Denedim,Tepki,43,Output Nr.1,49,169400,False,2019-01-25,0.615,0.427,5,-8.473,0,0.0763,0.643,0.0,0.109,0.507,177.918,Unknown
