artists,name,genres
Pretenders,Hymn to Her - 2007 Remaster,"80s, new wave, Mellow"
Bonnie Raitt,Love Me Like a Man - Remastered,soft rock
Marcos Witt,Escucharte Hablar,"spanish, instrumental, gospel, Cristiano, alabanza"
Mac Miller,Under The Weather,"hip hop, clean, get, addictive, perfect"
Lifehouse,Everything,"rock, alternative, Lifehouse, alternative rock, Love"
Rascal Flatts,Come Wake Me Up,"country, jazzyscountry, Come wake me up, sad, beautiful"
Samuel Hernández,Dios Siempre Tiene el Control,"Me gusta, Dios siemptre tiene el control, nilda"
Super Grupo Colombia,Corazón Enamorado,Unknown
Antonio Aguilar,Y Ándale,Unknown
Styx,Lady,"classic rock, rock, styx, 80s, hard rock"
Traveling Wilburys,Tweeter And The Monkey Man,"classic rock, rock, Traveling Wilburys, 80s, Bob Dylan"
Joe Hisaishi,The Path of the Wind - Instrumental,Unknown
Teresa Teng,我只在乎你,"taiwanese, chinese, taiwanese female vocal, female vocalists, oldie"
Robbie Robertson,Somewhere Down The Crazy River,"singer-songwriter, rock, classic rock, 80s, chill"
Dave Mason,We Just Disagree,"70s, soft rock, classic rock, We Just Disagree, rock"
Rose Royce,I Wanna Get Next To You,"soul, 70s, rose royce, I wanna get next to you, Disco"
"Franz Liszt,  Evgeny Kissin","Ständchen (From Schwanengesang, D957)",Unknown
"Kirk Franklin,  The Family",Revolution,"gospel, Contemporary Gospel, Kirk Franklin, Contemporary Gospel Tag, revolution"
Silvio Rodríguez,Unicornio,"trova, cuba, latin, contemporary troubadours, acoustic"
The Avett Brothers,Live And Die,"folk, acoustic, Mellow, alternative, americana"
Beach House,Lazuli,"dream pop, indie, female vocalists, indie pop, ethereal"
Prince,I Wanna Be Your Lover,"funk, prince, 80s, pop, soul"
Dan Fogelberg,Same Old Lang Syne,"soft rock, 70s, singer-songwriter, Mellow, Dan Fogelberg"
Sisters of Mercy,Lucretia My Reflection - Vinyl Version; New Version for Digital,"Gothic, Gothic Rock"
Azumi Inoue,My Neighbor Totoro,movie
CHIC,Good Times - 2018 Remaster,"Disco, dance, funk, rnb"
Big Time Rush,Windows Down,"pop, pop rock, cover, party, big time rush"
