track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
1f00vLCQsWLq0uM3ozCsgk,Céu Azul,Apollo G,33,Céu Azul,37,137195,True,2019-06-29,0.696,0.525,0,-9.333,0,0.0881,0.556,0.0,0.234,0.445,87.501,Unknown
67lE8dTUhDutJniBNut2vk,Ap3X,Shane Eagle,0,Ap3X,0,173000,True,2019-03-11,0.677,0.612,8,-8.548,1,0.269,0.343,0.0,0.149,0.581,120.11,Unknown
5MS5x1YFf8O39tkkBZryGv,"Dance With My Father - Fra TV-Programmet ""Idol 2018""",Carlisle,10,"Dance With My Father (Fra TV-Programmet ""Idol 2018"")",12,157616,False,2018-11-23,0.393,0.199,8,-9.399,1,0.0419,0.84,0.0,0.166,0.389,169.149,Unknown
5os6ed1nsk76Lh6t4CrGQC,帰り道は遠回りしたくなる,Nogizaka46,0,Imaga Omoideni Narumade (Complete Edition),0,269706,False,2019,0.507,0.85,1,-2.71,1,0.0387,0.474,0.0,0.0749,0.713,138.073,Unknown
1aizVDKUj5zGDT5twYx3XC,シンクロニシティ,Nogizaka46,0,Imaga Omoideni Narumade (Complete Edition),0,254893,False,2019,0.567,0.923,0,-3.607,1,0.0412,0.613,0.0,0.0567,0.503,135.927,"japanese, j-pop, idol"
2FZjs7KKsRyXymiaUyOOA2,High Life,Young Multi,0,Trapstar,0,192213,True,2018-11-23,0.804,0.579,2,-7.297,1,0.117,0.0234,0.00023,0.099,0.237,140.017,Unknown
1yaZnz65RJGW90F06vRsTP,我們一樣可惜 (Full Band ver.,Good Band,0,我們一樣可惜 (Full Band ver.,0,474161,False,2019-01-28,0.598,0.363,9,-8.328,1,0.0296,0.441,4.84e-06,0.179,0.261,97.029,Unknown
5YBqJLRyVWxydewkdyr44D,Karel,Majk Spirit,0,Karel,8,108137,True,2018-11-23,0.579,0.687,1,-6.944,1,0.468,0.804,0.0,0.107,0.49,88.602,Unknown
0HwNCbItw5m5YkokQ6Sb1Q,MIDDLE OF NOWHERE,Felix Sandman,0,MIDDLE OF NOWHERE,27,158571,False,2019-07-05,0.707,0.552,9,-6.469,1,0.0358,0.424,3.77e-06,0.13,0.511,140.01,Unknown
4QpZHx6B64s4rL1CX4FbBe,Lova mig,Emil Assergård,29,Lova mig,31,192507,False,2019-07-05,0.483,0.883,6,-7.412,1,0.0466,0.00112,4.07e-06,0.41,0.669,149.976,Unknown
0tUqaDwJlYuzBD8xk7zkjP,Sinner,Klingande,18,Sinner,28,189849,False,2019-06-28,0.687,0.716,9,-6.227,0,0.11,0.00623,0.0,0.514,0.654,121.951,Unknown
2aXwWU6fDvDEodBc5DwMvr,Karma,Ison & Fille,10,Vackra liv,10,170960,False,2019-05-24,0.876,0.715,2,-7.676,0,0.182,0.0941,0.0,0.0802,0.871,104.029,Unknown
3WhQD3IrhYYM4XDdLX5jbT,在這世界上,51(伍冠諺X易桀齊),0,在這世界上,0,163220,False,2018-11-16,0.601,0.226,7,-13.186,1,0.0386,0.961,4.86e-06,0.131,0.36,117.99,Unknown
7G6gUms74uq8qOvv6iUI0o,蝸牛,呂薔Amuyi,2,蝸牛,4,275879,False,2018-11-06,0.457,0.366,9,-8.399,0,0.0329,0.853,0.0,0.0932,0.171,119.356,Unknown
1bbY7EOsoFxZTJ2PSZaA1Z,Birds,M Huncho,0,Birds,0,227412,True,2019-03-07,0.535,0.591,4,-7.99,0,0.122,0.0854,0.0,0.347,0.171,115.951,Unknown
2vzfk6Z4Gc0rN7OKb6h2jv,Rahtak Awla,Sheme,0,Rahtak Awla,0,278662,False,2018-10-13,0.388,0.778,4,-4.864,0,0.178,0.48,0.0,0.0723,0.608,175.674,Unknown
63eGghNk0tlCFqtjdE6aEq,เสี่ยว Feat. Na Polycat,Ammy The Bottom Blues,0,เสี่ยว Feat. Na Polycat,0,300187,False,2019-07-03,0.713,0.497,11,-7.418,0,0.031,0.0718,2.48e-05,0.0498,0.892,91.0,Unknown
1JJkwvVdp2nbDI5tMfFeMt,Fake Love,URBOYTJ,8,Fake Love,9,207600,True,2019-07-01,0.728,0.531,4,-6.894,1,0.0496,0.00238,0.00184,0.111,0.402,100.031,Unknown
40FzV0c0C6LkBNhp5eWv1U,อยู่,Zweed n' Roll,0,อยู่,0,339500,False,2019-07-04,0.374,0.841,0,-5.685,1,0.0367,0.00458,0.00101,0.216,0.257,175.924,Unknown
4yVEpUXxYgBwfSOKGTFxv5,REEL IT IN (feat. Gucci Mane) - Remix,Aminé,43,REEL IT IN,46,166960,True,2018-11-20,0.779,0.355,10,-8.971,0,0.0789,0.0624,0.0,0.159,0.362,128.805,gucci mane
5pqH6aEfTKoFCr7IE6urm3,Mamma Mia (feat. Amber Van Day),HUGEL,52,Mamma Mia (feat. Amber Van Day),57,122009,True,2019-04-19,0.833,0.826,5,-6.384,0,0.203,0.0958,0.0,0.263,0.565,125.885,Unknown
6QuMW8fEXeSqmD0R9ihCJX,Speaker (feat. Olivia Holt & ZieZie),Banx & Ranx,26,Speaker (feat. Olivia Holt & ZieZie),28,193876,False,2019-04-05,0.52,0.881,1,-2.308,0,0.296,0.126,0.0,0.143,0.711,111.928,Unknown
6PuDnNxBJsxypNXqALqKgX,Sleepless,Epik High,0,sleepless in __________,0,64426,False,2019-03-11,0.498,0.0455,2,-34.997,0,0.118,0.992,0.897,0.103,0.273,128.659,Unknown
0IOb3ODBaDXG3awyCTh4a5,MAMBO (feat. Childsplay & Chuckie),Jaycob Duque,20,MAMBO (feat. Childsplay & Chuckie),23,166439,True,2018-10-26,0.839,0.777,7,-5.032,0,0.211,0.0431,4.32e-05,0.285,0.753,99.97,Unknown
7qrqAmaQlBoDLkmD6CFmmd,Khi Giấc Mơ Về,Phạm Anh Duy,0,Nữ Thần,0,284800,False,2018-06-01,0.618,0.467,11,-9.764,0,0.163,0.474,0.0,0.0937,0.395,75.068,Unknown
7IfZopkV6eUQWMRcMjyyrS,เป็นตะลิโตน,TaitosmitH,0,เป็นตะลิโตน,0,275500,False,2018-09-22,0.663,0.514,9,-8.935,1,0.032,0.326,0.00854,0.0882,0.496,114.995,Unknown
