track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
1wcwk7tl6SGnt4HoA6Z4IO,Muevelo,Atomi Otro Way,0,Muevelo,0,203441,True,2018-04-07,0.891,0.905,3,-4.145,1,0.0886,0.149,3.31e-06,0.112,0.938,118.014,Unknown
1kzs05g4L7sADL1JCBVH1s,Serrucho Amolao,Shelow Shaq,33,Serrucho Amolao,34,232151,True,2018-02-28,0.919,0.907,10,-1.158,0,0.22,0.058,3.1e-05,0.0467,0.802,121.938,Unknown
4cfoVJxpHqUqTvBrG1RTyi,Dicen,Matt Hunter,57,Dicen,53,220826,False,2018-05-04,0.817,0.635,5,-5.719,0,0.138,0.137,7.85e-06,0.245,0.777,103.029,Lele Pons
1TZ1LeOUZXYKfbMR4XNro8,Iholla (Vain elämää kausi 8),Happoradio,12,Iholla (Vain elämää kausi 8),16,214834,False,2018-05-04,0.592,0.754,1,-7.2,0,0.0503,0.0141,2.97e-05,0.228,0.437,131.952,Unknown
73jW4ORuar4xaYRATgegM1,Huonoo seuraa - Vain elämää kausi 8,Mira Luoti,11,Huonoo seuraa (Vain elämää kausi 8),14,175733,False,2018-05-04,0.658,0.781,7,-4.837,0,0.0508,0.239,0.000188,0.108,0.633,101.964,Unknown
4HNKcMJovdBx5IGcOC3cHG,Kaija (Vain elämää kausi 8),Sani,9,Kaija (Vain elämää kausi 8),13,201573,False,2018-05-04,0.68,0.785,11,-6.13,1,0.0332,0.0783,0.0,0.195,0.635,108.014,Unknown
45j9h6oqPrQaN4Y4uQhGNu,Langt Ude,Ude Af Kontrol,31,Langt Ude,34,162680,True,2019-09-26,0.734,0.939,0,-3.156,0,0.143,0.0504,3.04e-06,0.184,0.375,128.034,Unknown
1ij0Q2yBeo72vp52lbdyRb,Nu,N3LLY,24,Nu,27,147321,False,2020-03-16,0.472,0.646,6,-7.416,0,0.0672,0.594,0.0,0.107,0.646,66.781,Unknown
0VWTSWZVask2dSMShSphvM,JUNGLE,MellemFingaMuzik,44,JUNGLE,44,209265,False,2018-11-28,0.793,0.551,6,-5.909,0,0.0795,0.322,0.0,0.186,0.572,142.066,Unknown
3VsCdo8E3aXavuHG8chzMM,Kato mua,Lucas,4,2.0,6,207807,False,2018-05-04,0.505,0.82,4,-4.061,0,0.0522,0.0202,0.0,0.347,0.262,76.668,Unknown
0nJLNVanyyGaCRDxR4UEeL,Talk,Liv Dawson,21,Talk,25,188745,False,2018-03-09,0.71,0.667,11,-7.531,0,0.0354,0.406,0.0,0.104,0.235,108.976,Unknown
6gNebIZdqveOrVehCmgE8b,DAS CAP,Lil Yachty,34,Lil Boat 2,37,184574,True,2018-03-09,0.76,0.762,10,-4.486,0,0.07,0.0938,0.0,0.0829,0.269,125.019,Unknown
0kMXQ9xqVotFY03OtYO85N,FWM,Lil Yachty,35,Lil Boat 2,38,142247,True,2018-03-09,0.836,0.61,4,-7.23,0,0.345,0.493,0.0,0.129,0.611,130.025,"Hip-Hop, rap, trap, qc, lil yachty"
5jBdjKVBUQwoNOUnFoIZp7,POP OUT,Lil Yachty,32,Lil Boat 2,35,173517,True,2018-03-09,0.766,0.65,6,-3.419,1,0.194,0.244,0.0,0.107,0.244,134.773,"Hip-Hop, rap, trap, lil yachty, Jban$2Turnt"
3STqgOS8Gnn0BQFHVbMIEI,FLEX,Lil Yachty,35,Lil Boat 2,37,130713,True,2018-03-09,0.909,0.52,9,-7.664,1,0.284,0.0421,0.0,0.169,0.508,140.23,"Hip-Hop, rap, trap, qc, lil yachty"
57qvqFm7s8ULbFdkpqBlcL,WHOLE lotta GUAP,Lil Yachty,36,Lil Boat 2,38,172219,True,2018-03-09,0.88,0.865,9,-8.97,1,0.333,0.254,2.09e-06,0.305,0.655,131.075,"Hip-Hop, rap, trap, qc, lil yachty"
6IWtDYcQgeO8OiMe8DSeab,Kuha Ruotsi hävii (feat. Eini),HesaÄijä,18,Kuha Ruotsi hävii (feat. Eini),19,165515,False,2018-04-20,0.67,0.892,7,-3.873,1,0.0699,0.169,0.0,0.0763,0.889,127.991,Unknown
203wlY7jCBMZq5h4DOIDRL,Poika saunoo,Poju,44,Panokset kovenee,44,172373,False,2011,0.655,0.987,6,-3.917,0,0.0562,0.123,0.0,0.0471,0.961,120.005,"kiekkobiisit, winning, i had to get up and dance, i really should not like this but i do, leijonat"
4PBou1i63krEp3jKCPhxVD,Nada Personal - Remasterizado 2007,Soda Stereo,66,Nada Personal (Remastered),68,292573,False,1985-10-09,0.762,0.939,8,-4.826,0,0.0487,0.423,0.139,0.119,0.448,124.398,"Rock Argentino, rock en español, 1985"
2dQzfKRaMKUCQgMpOtpLTh,Bella ciao - HUGEL Remix,El Profesor,61,Bella ciao (HUGEL Remix),65,164954,False,2018-04-13,0.842,0.488,11,-7.856,0,0.0844,0.218,0.00718,0.0877,0.647,126.019,"italian, EDM"
6KPTsPIe7faR13q8IfG0l8,Bourgeoisie,Hornet La Frappe,21,Bourgeoisie,24,176997,True,2018-05-04,0.792,0.615,1,-6.191,1,0.358,0.31,0.0,0.136,0.485,76.978,Unknown
3V2dokS8X3KTAcE5G3q5yU,Like a Lion (feat. Gentleman),Mark Forster,32,Like a Lion (feat. Gentleman),37,190773,False,2018-04-12,0.712,0.808,9,-6.601,0,0.0976,0.408,2.69e-06,0.125,0.858,101.027,Unknown
5ek0O3TXqo2FX8ZUAhvt61,Leichtsinn,Tim Bendzko,36,Immer noch Mensch,38,194000,False,2016-10-21,0.833,0.735,1,-8.782,1,0.0387,0.12,0.0,0.123,0.926,133.967,Unknown
5AlI3P7UjjNPo4ltpYXpj0,All That She Wants,Ryan Riback,0,All That She Wants,18,196571,False,2016-09-23,0.587,0.666,11,-6.25,1,0.0478,0.02,0.0,0.079,0.325,104.893,"saxophone, cover, party, whistle song, 2016 single"
61mInKdit88U3AKjthOIbY,Dancing On My Own - Tiësto Remix,Calum Scott,0,Only Human (Deluxe),0,222889,False,2018-03-09,0.634,0.593,1,-5.493,1,0.0355,0.0172,0.000464,0.086,0.226,122.007,"pop, acoustic, hairy chest, hunks, nice fur"
44V1pwEVMvE7RtZp6igD8H,Make It Right - Wankelmut Remix,FDVM,0,Make It Right (Remixes),0,187720,False,2017-07-21,0.727,0.697,8,-8.172,0,0.0351,0.0147,0.00968,0.0948,0.354,115.992,Unknown
3eG2nana2IvMbAH57n71Ht,We Get High Together,Nicolas Haelg,26,We Get High Together,29,190653,False,2017-10-06,0.638,0.478,0,-6.193,1,0.0354,0.0841,0.0,0.562,0.469,122.98,Unknown
1n8rU6fMDfmw0ZvEpi7KMF,如果我們不曾相遇,Mayday,50,自傳,52,202388,False,2016-07-21,0.505,0.709,1,-5.286,0,0.0301,0.00109,0.0,0.0886,0.345,103.984,Unknown
4P8cRZZ5Xk1wfsbULoL1Qf,派對動物,Mayday,49,自傳,50,249957,False,2016-07-21,0.57,0.843,4,-3.952,0,0.0677,0.0322,0.0,0.759,0.801,136.005,"chinese, C-pop"
2GdWMaqSDf4jDMPNlMpm5b,洋蔥,Mayday,0,步步 自選作品輯 The Best of 1999-2013,0,275680,False,2013-12-27,0.512,0.543,0,-6.762,1,0.028,0.251,0.0,0.137,0.245,129.898,Unknown
4WqfA1ee2I2o7MV88ASUj5,Bro Bro,Zola,30,Bro Bro,32,144166,True,2020-05-08,0.96,0.587,9,-7.488,1,0.298,0.222,3.35e-06,0.118,0.426,121.039,Unknown
3DLRol7w3wxvhDv5vrIhdd,Kopóggyá - PMXV Version,Punnany Massif,0,PMXV,0,335000,False,2018-04-23,0.843,0.763,5,-5.661,1,0.103,0.0523,0.0,0.193,0.64,107.963,Unknown
7qLFjceYPTdjBR4Pr6tm8O,Telik - PMXV Version,Punnany Massif,0,PMXV,0,271000,False,2018-04-23,0.826,0.62,2,-6.705,0,0.207,0.062,0.0,0.203,0.816,92.023,Unknown
5stBsOR6RPnwlA3rN6fqcI,Pantha - Remix,Dappy,38,Pantha (Remix),41,206746,False,2019-09-21,0.798,0.676,8,-5.067,0,0.0837,0.298,0.0,0.111,0.545,94.946,Unknown
0AwvZWsw0nESAnThP95v1Y,Dabri Iti Yoter,Nathan Goshen,0,Dabri Iti Yoter,0,188133,False,2016-03-09,0.614,0.514,0,-6.685,0,0.0352,0.537,1.75e-05,0.0953,0.641,148.017,Unknown
0SjHSeOn3Dz2ZGaGMHe2nJ,Kaitz,Avior Malasa,0,Avior Malasa,0,164956,False,2017-10-31,0.742,0.713,7,-4.81,0,0.0935,0.159,0.0,0.154,0.501,101.955,Unknown
6atDujMlDv0VSxRqFzIjs6,לולה,Dudu Tassa,0,לולה,0,198666,False,2006-07-05,0.503,0.601,11,-5.991,0,0.0319,0.53,0.0,0.133,0.302,151.852,Unknown
13HgIaUYGnOp4Yyuxw5t3j,Negotiation,Mosh Ben Ari,0,Masa Umatan,0,304520,False,2009-01-12,0.562,0.585,6,-5.881,0,0.0254,0.269,0.0,0.118,0.391,130.004,Unknown
