track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
4veOvrYiK224LWEqHX39vv,能動的三分間,Tokyo Incidents,52,スポーツ,52,180000,False,2010-02-24,0.645,0.854,1,-3.632,0,0.0512,0.0247,1.76e-06,0.332,0.672,120.029,"J-rock, japanese, Shiina Ringo, tokyo jihen, female vocalists"
7bDgXhmpzHjvWx4qrtFaDS,キラーチューン,Tokyo Incidents,50,娯楽(バラエティ),49,222320,False,2007-09-26,0.49,0.771,8,-4.74,1,0.0372,0.00268,1.85e-05,0.128,0.425,123.496,"J-rock, rock, tokyo jihen, japanese, jazz"
3pV0TXLTcB49hPh6Tsc4aI,Bedtown,King Gnu,0,Sympa,0,185466,False,2019-01-16,0.619,0.99,7,-3.74,1,0.216,0.0737,0.0,0.0695,0.501,120.018,Unknown
6bsQqsm2EAztXE6kk6hR2s,閃光少女,Tokyo Incidents,49,スポーツ,54,177266,False,2010-02-24,0.366,0.775,11,-4.495,1,0.0549,0.000349,0.000256,0.123,0.414,167.91,"J-rock, Shiina Ringo, tokyo jihen, j-pop, soundtrack to a brain doused in gasoline"
6ticgZxVwwP3naFwq9mPsZ,フレア,Superfly,33,フレア,34,252573,False,2019-11-01,0.563,0.789,2,-3.481,1,0.031,0.131,0.000587,0.368,0.541,109.986,Unknown
3fiWSSrUn4xaUO1VyqIf1K,McDonald Romance,King Gnu,0,Tokyo Rendez-Vous,0,165733,False,2017-10-27,0.636,0.546,8,-7.688,1,0.0724,0.0752,0.000102,0.0859,0.435,84.84,Awesome
1V4LyvIe5CphJI15Ng98tO,Mutyla,7th Block,31,Mutyla,34,158223,True,2019-12-20,0.861,0.388,6,-15.803,0,0.353,0.0241,0.0,0.0615,0.556,87.985,Unknown
1gaFzwbmybYUZCnX1qTNRw,Холодок,Мэвл,0,Холодок,0,122035,False,2019-11-22,0.88,0.663,0,-8.135,1,0.208,0.234,4.67e-05,0.111,0.804,140.15,Unknown
0rMQ6rYjBveWB14UWapbL5,Патамушка,Мэвл,0,Патамушка,0,138837,False,2019-12-13,0.902,0.853,7,-4.608,1,0.131,0.0494,4.98e-06,0.0717,0.882,148.059,Unknown
4GGSmoTmc5LClrowB4SmEw,Mind Is A Prison,Alec Benjamin,0,Mind Is A Prison,0,162033,False,2019-12-12,0.637,0.661,5,-5.217,0,0.05,0.527,0.0,0.18,0.694,151.148,"pop, 2010s, 2019, sad, downtempo"
25y6sVkVmTTukUW30oSP85,ZUHUD,Kmy Kmo,39,ZUHUD,38,235227,False,2019-12-20,0.732,0.71,7,-4.837,1,0.114,0.458,0.0,0.0932,0.274,132.014,Unknown
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,Ariana Grande,80,Dangerous Woman,81,235946,False,2016-04-01,0.662,0.602,4,-5.369,0,0.0401,0.0529,0.0,0.356,0.29,133.969,"pop, rnb, sexy, 2016, best of 2016"
2G7vVF2QPQtlnQ7EQntij8,Kallidade,Kalli,0,Kallidade,0,158400,True,2019-07-11,0.783,0.483,1,-8.963,1,0.127,0.212,0.0,0.185,0.299,100.036,Unknown
7MFx1m3OtVUslKtkSN0Buj,Ty se díváš,Adam Mišík,18,Ty se díváš,20,202235,True,2019-12-02,0.543,0.879,1,-3.412,1,0.143,0.0292,0.0,0.087,0.489,169.871,Unknown
1A2rO3F2LhRZncRMmOwe3B,Duro y Suave,You Salsa,0,Duro y Suave,0,267557,False,2018-11-26,0.736,0.799,10,-5.836,0,0.0506,0.0617,0.000463,0.121,0.614,95.009,Unknown
1s59X35jDULAyOGmBuTAnd,Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,70,Yo Ya No Vuelvo Contigo (En Vivo),71,240456,True,2019-11-01,0.643,0.35,4,-5.924,0,0.0783,0.784,0.0,0.102,0.541,118.199,Unknown
6z0nw7pmCeOJVFBCaNKHKs,No seas Celoso,Kim Loaiza,52,No seas Celoso,50,180843,False,2019-12-12,0.89,0.465,11,-7.714,0,0.0813,0.00843,0.00322,0.0387,0.532,102.976,"disgusting, FLOP, shameful, TANKED, any song is better than this"
5BNSV9jHfAonGIafTU4Wrs,Nieves De Enero,Chalino Sanchez,0,Nieves De Enero,0,213159,False,1992-05-14,0.426,0.504,0,-6.865,1,0.0636,0.703,4.22e-05,0.0911,0.687,186.379,"nieves de enero, raw, tony, raul, Chio"
6ya4Hq3twTffkM15X389KY,Juro por Dios - En Vivo,Grupo Firme,1,Juro por Dios (En Vivo),53,202005,False,2018-12-21,0.554,0.532,2,-6.544,1,0.0338,0.12,0.0,0.29,0.786,125.014,Unknown
0RwjnVdmSxzQ9ZNWThkATq,Cargoo,SecondT3,0,Cargoo,0,236643,True,2019-12-05,0.634,0.815,6,-7.058,1,0.0765,0.144,0.931,0.282,0.224,140.03,Unknown
3NbqXZcEujRXbXK4fqEeMK,Koun Wajed,Shayfeen,21,Koun Wajed,26,153000,False,2020-01-01,0.66,0.697,11,-5.703,0,0.217,0.00432,0.0,0.183,0.529,159.987,Unknown
6Ot7Xac6tL8ZrzqB7YmpzG,Caballero,Muslim,0,Caballero,0,191112,False,2019-12-14,0.66,0.916,5,-3.368,1,0.0572,0.115,0.00133,0.0702,0.828,159.999,Unknown
7o0mFEX37KxPnfLof7NEWi,La Jiti,Lbenj,0,La Jiti,0,228888,False,2019-06-06,0.718,0.8,10,-5.324,0,0.0676,0.0398,2.44e-05,0.0845,0.41,108.003,Unknown
1JLjTcyCsaHOPWV0QmmRNp,Darni 9elbi,Zakaria Ghafouli,30,Darni 9elbi,32,201560,False,2019-11-29,0.888,0.712,11,-8.568,0,0.043,0.37,0.0,0.0545,0.953,104.948,Unknown
4ZZTGwdDZFCbKseFGPgKjP,Bayna,Nouamane Belaiachi,21,Bayna,22,232248,False,2019-11-23,0.717,0.584,3,-7.086,0,0.0417,0.546,0.0,0.14,0.428,124.991,Unknown
0JWaEkQmU8oaSukOBCbrJC,Ze Huilt Maar Ze Lacht,Maan,46,Ze Huilt Maar Ze Lacht,48,186618,False,2019-12-13,0.56,0.36,8,-13.116,1,0.0336,0.853,9.92e-06,0.112,0.178,78.08,nederlands
3iPwmwKYxRKchDa1oegQRg,Nu Heb Ik Paper,Glades,0,Nu Heb Ik Paper,0,169142,True,2019-12-26,0.824,0.818,9,-7.779,1,0.206,0.0128,0.0,0.0927,0.567,104.997,Unknown
7HL6wIxsT3aRJrUxfVowFn,Mami So Bad,Frenna,34,Mami So Bad,38,181352,True,2019-12-12,0.864,0.612,10,-3.785,0,0.0472,0.000742,0.203,0.0656,0.604,107.99,Unknown
42nUkKuqf4JbgQjOQyVnmn,Sterling,Broederliefde,39,Broeders (Extended),40,168729,True,2019-12-12,0.798,0.756,2,-7.864,1,0.0929,0.0816,0.622,0.607,0.799,107.986,Unknown
7rrofCTIXLWuiiCFhKgXID,Drukken,Hef,39,Tranen,41,170036,True,2019-12-19,0.882,0.474,0,-6.763,1,0.336,0.129,8.63e-05,0.107,0.353,92.001,Unknown
33KBrR3d2tZb0NsLP4DOAs,Ik Probeer Het,Hef,37,Tranen,39,154946,True,2019-12-19,0.884,0.617,0,-5.184,1,0.27,0.0536,1.07e-05,0.103,0.545,94.007,Unknown
2pahLrgirOmxupjyEEvnGs,GLE63S,Mula B,0,GLE63S,0,214777,True,2019-12-17,0.749,0.729,6,-4.77,0,0.042,0.123,2.09e-05,0.0943,0.562,135.017,Unknown
0sb1KP6jkJ6nCOYIXkuyjr,Nog Lang Niet,Broederliefde,40,Broeders (Extended),38,240488,True,2019-12-12,0.513,0.59,0,-8.032,1,0.153,0.235,2.67e-05,0.151,0.295,197.873,Unknown
3crMxs002ZydNQAyz8PMFb,Miyek,ICE,19,Miyek,18,147782,True,2019-12-18,0.719,0.566,9,-8.736,0,0.0898,0.592,0.0,0.148,0.526,119.933,Unknown
6IZnYaULLvZLPmsQozfGu7,Goud & Nieuw - Vuurwerkbril,Joel Beukers,29,Goud & Nieuw (Vuurwerkbril),33,207468,False,2019-12-20,0.703,0.945,7,-1.359,1,0.213,0.0598,0.0,0.084,0.706,160.021,Unknown
4yTImsj0vdXGozEGaAXYqp,Dinero,3robi,0,Dinero,0,121117,True,2019-12-13,0.864,0.642,10,-8.051,0,0.0626,0.0929,0.0,0.106,0.88,126.979,Unknown
59ZhqrmXub9nSwNGfOzg1N,De Toreador,Opgeblazen,0,De Toreador,0,230709,False,2020-01-23,0.732,0.97,9,-3.313,0,0.0482,0.154,0.0,0.183,0.792,130.027,"carnaval, karnaval"
13y5cj1nfLA8G1MNNvbKU7,#Skakelen,Broederliefde,33,Broeders (Extended),35,152220,False,2019-12-12,0.829,0.848,6,-5.65,0,0.168,0.0498,0.0589,0.293,0.424,123.006,Unknown
3tSBPOC7ONYAo54rJyIrRu,Trap Freestyle Part 1 (Trap Van Vroeger),Mula B,0,Trap Freestyle Part 1 (Trap Van Vroeger),0,178541,True,2019-12-06,0.796,0.636,11,-7.618,1,0.305,0.0112,0.0,0.0907,0.479,91.844,Unknown
1KZSwS4T4zZk7jhwuBwGBr,Parkeer,DJEZJA,28,Parkeer,32,161688,True,2019-11-27,0.608,0.582,6,-11.737,1,0.202,0.116,0.00605,0.39,0.671,78.516,Unknown
0p7SSVp0NYJBsZfO3sGquC,Alone,Moov'art,0,Perfect World,0,120423,False,2019-08-30,0.393,0.288,5,-14.308,1,0.0334,0.0359,0.0,0.131,0.302,101.66,Unknown
7nflSbrgBCitUnW4psdR7a,La Negra Tiene Tumbao,Celia Cruz,57,La Negra Tiene Tumbao,57,253346,False,2001-08-17,0.799,0.843,11,-4.424,0,0.053,0.0338,3.33e-05,0.199,0.96,110.726,"salsa, latin, salsa cubana, cuba, musica latina"
22zxLxXlXrBIm7XaazHNrg,Hold On (feat. Michel Zitron),Martin Garrix,48,Hold On (feat. Michel Zitron),50,244453,False,2019-12-27,0.422,0.711,2,-4.809,0,0.0385,0.0176,0.0,0.559,0.321,128.066,"House, electro house, Progressive House, EDM, big room house"
4frOdq5O12jE2YUh4XF4pJ,As Long As I Break Your Heart,Ruben,29,As Long As I Break Your Heart,32,168778,True,2019-12-27,0.638,0.257,7,-8.487,1,0.0507,0.829,0.0,0.125,0.356,114.595,Unknown
